"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Pulmonary rehabilitation",1.2,"Madagascar",2020,18327.6916031668,18327.6916031668,0
"Pulmonary rehabilitation",1.2,"Madagascar",2021,19018.9546774424,19018.9546774424,0
"Pulmonary rehabilitation",1.2,"Madagascar",2022,19740.0728423634,19740.0728423634,0
"Pulmonary rehabilitation",1.2,"Madagascar",2023,30822.7975369848,20490.5764505276,10332.2210864571
"Pulmonary rehabilitation",1.2,"Madagascar",2024,42718.5111093489,21268.9125569285,21449.5985524205
"Pulmonary rehabilitation",1.2,"Madagascar",2025,55470.3369719956,22075.4260826751,33394.9108893205
"Pulmonary rehabilitation",1.2,"Madagascar",2026,69173.0074144754,22927.3232525279,46245.6841619475
"Pulmonary rehabilitation",1.2,"Madagascar",2027,83832.9152373663,23806.8748876833,60026.040349683
"Pulmonary rehabilitation",1.2,"Madagascar",2028,99493.2933993893,24714.3885663714,74778.9048330179
"Pulmonary rehabilitation",1.2,"Madagascar",2029,116199.368199083,25650.4799928079,90548.8882062747
"Pulmonary rehabilitation",1.2,"Madagascar",2030,134000.065218856,26616.2593800491,107383.805838807
"Epilepsy acute and chronic treatment",2.13,"Madagascar",2020,20773.8112109455,20773.8112109455,0
"Epilepsy acute and chronic treatment",2.13,"Madagascar",2021,21303.225579821,21303.225579821,0
"Epilepsy acute and chronic treatment",2.13,"Madagascar",2022,21841.1486465105,21841.1486465105,0
"Epilepsy acute and chronic treatment",2.13,"Madagascar",2023,94209.766409378,22386.4791467829,71823.2872625951
"Epilepsy acute and chronic treatment",2.13,"Madagascar",2024,170123.752875388,22938.0045303271,147185.748345061
"Epilepsy acute and chronic treatment",2.13,"Madagascar",2025,249605.716002648,23492.2155188559,226113.500483792
"Epilepsy acute and chronic treatment",2.13,"Madagascar",2026,332991.393739289,24071.4902756557,308919.903463633
"Epilepsy acute and chronic treatment",2.13,"Madagascar",2027,420170.352425235,24655.1758246731,395515.176600562
"Epilepsy acute and chronic treatment",2.13,"Madagascar",2028,511183.902957752,25243.2022522225,485940.70070553
"Epilepsy acute and chronic treatment",2.13,"Madagascar",2029,606082.55897841,25835.9320455554,580246.626932854
"Epilepsy acute and chronic treatment",2.13,"Madagascar",2030,704864.443338658,26431.5909725033,678432.852366155
"Aspirin for suspected ACS",2.5,"Madagascar",2020,1296.44402796702,1296.44402796702,0
"Aspirin for suspected ACS",2.5,"Madagascar",2021,1342.75706183371,1342.75706183371,0
"Aspirin for suspected ACS",2.5,"Madagascar",2022,1391.03686040838,1391.03686040838,0
"Aspirin for suspected ACS",2.5,"Madagascar",2023,2168.00569647855,1441.26069074582,726.745005732734
"Aspirin for suspected ACS",2.5,"Madagascar",2024,2999.41561593617,1493.36769622092,1506.04791971525
"Aspirin for suspected ACS",2.5,"Madagascar",2025,3888.31858029818,1547.43620134135,2340.88237895683
"Aspirin for suspected ACS",2.5,"Madagascar",2026,4832.26666313286,1601.66888629579,3230.59777683708
"Aspirin for suspected ACS",2.5,"Madagascar",2027,5838.25041429465,1657.97857849315,4180.2718358015
"Aspirin for suspected ACS",2.5,"Madagascar",2028,6910.71140412375,1716.68648650589,5194.02491761786
"Aspirin for suspected ACS",2.5,"Madagascar",2029,8055.40162976129,1778.26015630185,6277.14147345944
"Aspirin for suspected ACS",2.5,"Madagascar",2030,9278.41432676511,1843.04768339386,7435.36664337125
"Alcohol tax",5.2,"Madagascar",2020,2638.00783578722,2638.00783578722,0
"Alcohol tax",5.2,"Madagascar",2021,2706.70926600936,2706.70926600936,0
"Alcohol tax",5.2,"Madagascar",2022,2776.93315939881,2776.93315939881,0
"Alcohol tax",5.2,"Madagascar",2023,3204.66022979724,2848.58687093088,356.073358866361
"Alcohol tax",5.2,"Madagascar",2024,3651.91292380017,2921.52942067181,730.383503128361
"Alcohol tax",5.2,"Madagascar",2025,4119.01340626848,2995.64332672083,1123.37007954765
"Alcohol tax",5.2,"Madagascar",2026,4606.30529214698,3070.86452192876,1535.44077021822
"Alcohol tax",5.2,"Madagascar",2027,5114.07254021494,3147.11195758103,1966.96058263391
"Alcohol tax",5.2,"Madagascar",2028,5642.64673859446,3224.35495075136,2418.2917878431
"Alcohol tax",5.2,"Madagascar",2029,6192.3617267237,3302.57220042933,2889.78952629436
"Alcohol tax",5.2,"Madagascar",2030,6763.55507746472,3381.74959811881,3381.80547934591
"Alcohol policy",5.4,"Madagascar",2020,3693.21097010211,3693.21097010211,0
"Alcohol policy",5.4,"Madagascar",2021,3789.39297241312,3789.39297241312,0
"Alcohol policy",5.4,"Madagascar",2022,3887.70642315834,3887.70642315834,0
"Alcohol policy",5.4,"Madagascar",2023,4486.52432171615,3988.02161930325,498.502702412906
"Alcohol policy",5.4,"Madagascar",2024,5112.68005026029,4090.14118894055,1022.53886131974
"Alcohol policy",5.4,"Madagascar",2025,5766.6253071113,4193.90065740918,1572.72464970212
"Alcohol policy",5.4,"Madagascar",2026,6448.84193998198,4299.21033070027,2149.63160928171
"Alcohol policy",5.4,"Madagascar",2027,7159.72823314688,4405.95674061346,2753.77149253342
"Alcohol policy",5.4,"Madagascar",2028,7899.7491770325,4514.09693105191,3385.65224598059
"Alcohol policy",5.4,"Madagascar",2029,8669.372918741,4623.60108060108,4045.77183813992
"Alcohol policy",5.4,"Madagascar",2030,9469.07283223197,4734.44943736634,4734.62339486563
