"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Malawi",2020,16536.7333027143,16536.7333027143,0
"Epilepsy acute and chronic treatment",2.13,"Malawi",2021,16965.7002125311,16965.7002125311,0
"Epilepsy acute and chronic treatment",2.13,"Malawi",2022,17402.7885248852,17402.7885248852,0
"Epilepsy acute and chronic treatment",2.13,"Malawi",2023,75108.9019664503,17847.6598732159,57261.2420932344
"Epilepsy acute and chronic treatment",2.13,"Malawi",2024,135725.262485477,18300.0208965123,117425.241588965
"Epilepsy acute and chronic treatment",2.13,"Malawi",2025,199296.316605047,18757.2571672056,180539.059437842
"Epilepsy acute and chronic treatment",2.13,"Malawi",2026,266104.481252477,19236.3810720806,246868.100180396
"Epilepsy acute and chronic treatment",2.13,"Malawi",2027,336147.127829758,19724.8676671898,316422.260162568
"Epilepsy acute and chronic treatment",2.13,"Malawi",2028,409462.136974977,20220.1303453059,389242.006629671
"Epilepsy acute and chronic treatment",2.13,"Malawi",2029,486046.305266207,20719.2468840685,465327.058382138
"Epilepsy acute and chronic treatment",2.13,"Malawi",2030,565822.528204227,21217.9309511683,544604.597253058
"Aspirin for suspected ACS",2.5,"Malawi",2020,1341.69156695161,1341.69156695161,0
"Aspirin for suspected ACS",2.5,"Malawi",2021,1392.9297495964,1392.9297495964,0
"Aspirin for suspected ACS",2.5,"Malawi",2022,1446.36653818009,1446.36653818009,0
"Aspirin for suspected ACS",2.5,"Malawi",2023,1941.26941494579,1503.07866739406,438.190747551726
"Aspirin for suspected ACS",2.5,"Malawi",2024,2476.7153479667,1564.5108113113,912.204536655405
"Aspirin for suspected ACS",2.5,"Malawi",2025,3058.43722799233,1631.51766625598,1426.91956173635
"Aspirin for suspected ACS",2.5,"Malawi",2026,3685.9989661767,1701.64568070691,1984.35328546979
"Aspirin for suspected ACS",2.5,"Malawi",2027,4369.9751933573,1778.08563853217,2591.88955482513
"Aspirin for suspected ACS",2.5,"Malawi",2028,5112.83235666994,1859.72550441476,3253.10685225518
"Aspirin for suspected ACS",2.5,"Malawi",2029,5913.92968476531,1944.85780776014,3969.07187700517
"Aspirin for suspected ACS",2.5,"Malawi",2030,6773.51982814039,2032.64070511475,4740.87912302564
"Treatment of early-stage breast cancer",4.3,"Malawi",2020,2312.89372216338,2312.89372216338,0
"Treatment of early-stage breast cancer",4.3,"Malawi",2021,2395.80488128723,2395.80488128723,0
"Treatment of early-stage breast cancer",4.3,"Malawi",2022,2484.92409706271,2484.92409706271,0
"Treatment of early-stage breast cancer",4.3,"Malawi",2023,6560.70188743876,2581.2597589923,3979.44212844646
"Treatment of early-stage breast cancer",4.3,"Malawi",2024,10965.6019442012,2685.44698285475,8280.1549613464
"Treatment of early-stage breast cancer",4.3,"Malawi",2025,15736.9736795064,2797.66421932869,12939.3094601777
"Treatment of early-stage breast cancer",4.3,"Malawi",2026,20826.9970362236,2906.05211875277,17920.9449174709
"Treatment of early-stage breast cancer",4.3,"Malawi",2027,26328.6690152494,3023.31929001785,23305.3497252315
"Treatment of early-stage breast cancer",4.3,"Malawi",2028,32274.8921652943,3148.66532176182,29126.2268435324
"Treatment of early-stage breast cancer",4.3,"Malawi",2029,38699.8240642643,3281.81436230315,35418.0097019612
"Treatment of early-stage breast cancer",4.3,"Malawi",2030,45650.6895810166,3423.59768578119,42227.0918952354
"Alcohol tax",5.2,"Malawi",2020,0,0,0
"Alcohol tax",5.2,"Malawi",2021,0,0,0
"Alcohol tax",5.2,"Malawi",2022,0,0,0
"Alcohol tax",5.2,"Malawi",2023,595.380362213971,0,595.380362213971
"Alcohol tax",5.2,"Malawi",2024,1222.55574044702,0,1222.55574044702
"Alcohol tax",5.2,"Malawi",2025,1882.87794278164,0,1882.87794278164
"Alcohol tax",5.2,"Malawi",2026,2577.75795829323,0,2577.75795829323
"Alcohol tax",5.2,"Malawi",2027,3308.31371096128,0,3308.31371096128
"Alcohol tax",5.2,"Malawi",2028,4075.51712547806,0,4075.51712547806
"Alcohol tax",5.2,"Malawi",2029,4880.04642865488,0,4880.04642865488
"Alcohol tax",5.2,"Malawi",2030,5722.45180574384,0,5722.45180574384
"Alcohol policy",5.4,"Malawi",2020,0,0,0
"Alcohol policy",5.4,"Malawi",2021,0,0,0
"Alcohol policy",5.4,"Malawi",2022,0,0,0
"Alcohol policy",5.4,"Malawi",2023,833.532507099559,0,833.532507099559
"Alcohol policy",5.4,"Malawi",2024,1711.5785863461,0,1711.5785863461
"Alcohol policy",5.4,"Malawi",2025,2636.03155863363,0,2636.03155863363
"Alcohol policy",5.4,"Malawi",2026,3608.86766363003,0,3608.86766363003
"Alcohol policy",5.4,"Malawi",2027,4631.6528028936,0,4631.6528028936
"Alcohol policy",5.4,"Malawi",2028,5705.74845163844,0,5705.74845163844
"Alcohol policy",5.4,"Malawi",2029,6832.10483732332,0,6832.10483732332
"Alcohol policy",5.4,"Malawi",2030,8011.49283613965,0,8011.49283613965
