"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Mongolia",2020,252117.959582158,252117.959582158,0
"Epilepsy acute and chronic treatment",2.13,"Mongolia",2021,256651.729865752,256651.729865752,0
"Epilepsy acute and chronic treatment",2.13,"Mongolia",2022,261033.303699171,261033.303699171,0
"Epilepsy acute and chronic treatment",2.13,"Mongolia",2023,285173.514737154,265277.688127585,19895.8266095688
"Epilepsy acute and chronic treatment",2.13,"Mongolia",2024,309860.040653965,269410.445466808,40449.5951871577
"Epilepsy acute and chronic treatment",2.13,"Mongolia",2025,335140.689650302,273487.113903559,61653.575746743
"Epilepsy acute and chronic treatment",2.13,"Mongolia",2026,361035.28766242,277525.971101887,83509.3165605331
"Epilepsy acute and chronic treatment",2.13,"Mongolia",2027,387386.527826798,281415.270818612,105971.257008186
"Epilepsy acute and chronic treatment",2.13,"Mongolia",2028,414200.906485025,285179.466966877,129021.439518148
"Epilepsy acute and chronic treatment",2.13,"Mongolia",2029,441492.975921366,288844.351224859,152648.624696507
"Epilepsy acute and chronic treatment",2.13,"Mongolia",2030,469305.793353165,292449.365139882,176856.428213283
"CVD primary prevention",2.4,"Mongolia",2020,6524187.69606384,6524187.69606384,0
"CVD primary prevention",2.4,"Mongolia",2021,6697076.45524165,6697076.45524165,0
"CVD primary prevention",2.4,"Mongolia",2022,6852637.29410735,6852637.29410735,0
"CVD primary prevention",2.4,"Mongolia",2023,7393694.44948462,6994000.76131312,399693.688171496
"CVD primary prevention",2.4,"Mongolia",2024,7941851.38950211,7125805.55074428,816045.838757825
"CVD primary prevention",2.4,"Mongolia",2025,8498209.40858446,7250275.57609746,1247933.832487
"CVD primary prevention",2.4,"Mongolia",2026,9059054.31576035,7365203.35556604,1693850.96019432
"CVD primary prevention",2.4,"Mongolia",2027,9619260.40599354,7467776.99634465,2151483.40964889
"CVD primary prevention",2.4,"Mongolia",2028,10181588.5253008,7561538.73798697,2620049.78731382
"CVD primary prevention",2.4,"Mongolia",2029,10748853.7906096,7649517.82338655,3099335.96722304
"CVD primary prevention",2.4,"Mongolia",2030,11323144.0710573,7733789.62978037,3589354.44127693
"Aspirin for suspected ACS",2.5,"Mongolia",2020,5747.74198238918,5747.74198238918,0
"Aspirin for suspected ACS",2.5,"Mongolia",2021,5928.26631615805,5928.26631615805,0
"Aspirin for suspected ACS",2.5,"Mongolia",2022,6105.45943967165,6105.45943967165,0
"Aspirin for suspected ACS",2.5,"Mongolia",2023,6645.75612920842,6286.49503232109,359.261096887335
"Aspirin for suspected ACS",2.5,"Mongolia",2024,7224.23550976592,6481.29313757479,742.942372191136
"Aspirin for suspected ACS",2.5,"Mongolia",2025,7848.93795501002,6694.53729278003,1154.40066222999
"Aspirin for suspected ACS",2.5,"Mongolia",2026,8515.7392608028,6919.99862857994,1595.74063222286
"Aspirin for suspected ACS",2.5,"Mongolia",2027,9226.48267668296,7157.33371929769,2069.14895738527
"Aspirin for suspected ACS",2.5,"Mongolia",2028,9975.04727896722,7400.33053434474,2574.71674462248
"Aspirin for suspected ACS",2.5,"Mongolia",2029,10746.1920396765,7637.31944744251,3108.87259223396
"Aspirin for suspected ACS",2.5,"Mongolia",2030,11527.2732153014,7860.27535838923,3666.99785691217
"Heart failure chronic treatment",2.7,"Mongolia",2020,416766.143719721,416766.143719721,0
"Heart failure chronic treatment",2.7,"Mongolia",2021,434547.108769827,434547.108769827,0
"Heart failure chronic treatment",2.7,"Mongolia",2022,452353.25098122,452353.25098122,0
"Heart failure chronic treatment",2.7,"Mongolia",2023,497383.073184141,470495.178869155,26887.8943149862
"Heart failure chronic treatment",2.7,"Mongolia",2024,545804.120152511,489335.793083482,56468.3270690286
"Heart failure chronic treatment",2.7,"Mongolia",2025,598110.648402905,509160.573685687,88950.0747172173
"Heart failure chronic treatment",2.7,"Mongolia",2026,658688.428544558,533278.98571242,125409.442832138
"Heart failure chronic treatment",2.7,"Mongolia",2027,723129.742258263,557648.771482287,165480.970775975
"Heart failure chronic treatment",2.7,"Mongolia",2028,791838.900351984,582498.980942069,209339.919409915
"Heart failure chronic treatment",2.7,"Mongolia",2029,865103.42219952,607961.454848332,257141.967351187
"Heart failure chronic treatment",2.7,"Mongolia",2030,943262.972620876,634200.361382634,309062.611238242
"Heart failure acute treatment",3.2,"Mongolia",2020,2596618.77712579,2596618.77712579,0
"Heart failure acute treatment",3.2,"Mongolia",2021,2714710.97507078,2714710.97507078,0
"Heart failure acute treatment",3.2,"Mongolia",2022,2832011.68086027,2832011.68086027,0
"Heart failure acute treatment",3.2,"Mongolia",2023,3533278.45530481,2950346.9929818,582931.462323016
"Heart failure acute treatment",3.2,"Mongolia",2024,4290866.19030304,3071892.85424173,1218973.3360613
"Heart failure acute treatment",3.2,"Mongolia",2025,5111470.46543732,3198603.44882371,1912867.01661361
"Heart failure acute treatment",3.2,"Mongolia",2026,6057953.03600708,3362241.6058905,2695711.43011658
"Heart failure acute treatment",3.2,"Mongolia",2027,7082232.0113991,3526668.43889536,3555563.57250373
"Heart failure acute treatment",3.2,"Mongolia",2028,8189342.31444151,3693172.96327928,4496169.35116222
"Heart failure acute treatment",3.2,"Mongolia",2029,9383045.24128233,3862341.93474397,5520703.30653835
"Heart failure acute treatment",3.2,"Mongolia",2030,10668554.1865277,4035372.13939503,6633182.04713268
"Tobacco tax",5.1,"Mongolia",2020,0,0,0
"Tobacco tax",5.1,"Mongolia",2021,0,0,0
"Tobacco tax",5.1,"Mongolia",2022,0,0,0
"Tobacco tax",5.1,"Mongolia",2023,625.32075724548,0,625.32075724548
"Tobacco tax",5.1,"Mongolia",2024,1267.54999203593,0,1267.54999203593
"Tobacco tax",5.1,"Mongolia",2025,1925.90718194068,0,1925.90718194068
"Tobacco tax",5.1,"Mongolia",2026,2599.54487055531,0,2599.54487055531
"Tobacco tax",5.1,"Mongolia",2027,3287.60570750241,0,3287.60570750241
"Tobacco tax",5.1,"Mongolia",2028,3989.61807573909,0,3989.61807573909
"Tobacco tax",5.1,"Mongolia",2029,4705.48223880728,0,4705.48223880728
"Tobacco tax",5.1,"Mongolia",2030,5435.33810563322,0,5435.33810563322
"Alcohol tax",5.2,"Mongolia",2020,2390.94422829304,2390.94422829304,0
"Alcohol tax",5.2,"Mongolia",2021,2429.38892164436,2429.38892164436,0
"Alcohol tax",5.2,"Mongolia",2022,2466.13902301714,2466.13902301714,0
"Alcohol tax",5.2,"Mongolia",2023,2813.94340760466,2501.28302898192,312.66037862274
"Alcohol tax",5.2,"Mongolia",2024,3168.85402548804,2535.08092849298,633.773096995058
"Alcohol tax",5.2,"Mongolia",2025,3530.74608067686,2567.80818136194,962.937899314917
"Alcohol tax",5.2,"Mongolia",2026,3899.10189192739,2599.38631735202,1299.71557457538
"Alcohol tax",5.2,"Mongolia",2027,4273.44212999493,2629.78461020728,1643.65751978765
"Alcohol tax",5.2,"Mongolia",2028,4653.74856287703,2659.24451553287,1994.50404734416
"Alcohol tax",5.2,"Mongolia",2029,5040.25656199932,2688.07829755083,2352.17826444849
"Alcohol tax",5.2,"Mongolia",2030,5433.2797585815,2716.55922164121,2716.7205369403
"Tobacco policy",5.3,"Mongolia",2020,18410.2705670615,18410.2705670615,0
"Tobacco policy",5.3,"Mongolia",2021,18706.2947060147,18706.2947060147,0
