"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Pulmonary rehabilitation",1.2,"Niger",2020,9308.19842349252,9308.19842349252,0
"Pulmonary rehabilitation",1.2,"Niger",2021,9637.94231010185,9637.94231010185,0
"Pulmonary rehabilitation",1.2,"Niger",2022,9981.10153745128,9981.10153745128,0
"Pulmonary rehabilitation",1.2,"Niger",2023,16783.376772124,10339.174695711,6444.20207641293
"Pulmonary rehabilitation",1.2,"Niger",2024,24071.9784670038,10713.8319622892,13358.1465047147
"Pulmonary rehabilitation",1.2,"Niger",2025,31882.0569658434,11105.8034449433,20776.2535209001
"Pulmonary rehabilitation",1.2,"Niger",2026,40263.7918856233,11519.4155902711,28744.3762953522
"Pulmonary rehabilitation",1.2,"Niger",2027,49247.3391787119,11951.6423404094,37295.6968383025
"Pulmonary rehabilitation",1.2,"Niger",2028,58872.2316485514,12403.090376375,46469.1412721764
"Pulmonary rehabilitation",1.2,"Niger",2029,69178.7075720124,12874.3343665067,56304.3732055057
"Pulmonary rehabilitation",1.2,"Niger",2030,80209.2626139251,13366.2390545582,66843.0235593669
"Epilepsy acute and chronic treatment",2.13,"Niger",2020,17118.6243518009,17118.6243518009,0
"Epilepsy acute and chronic treatment",2.13,"Niger",2021,17760.2320013388,17760.2320013388,0
"Epilepsy acute and chronic treatment",2.13,"Niger",2022,18420.3607600096,18420.3607600096,0
"Epilepsy acute and chronic treatment",2.13,"Niger",2023,80379.0140426384,19099.9637329042,61279.0503097343
"Epilepsy acute and chronic treatment",2.13,"Niger",2024,146855.965319597,19800.5010859158,127055.464233682
"Epilepsy acute and chronic treatment",2.13,"Niger",2025,218042.498524774,20520.7481304796,197521.750394295
"Epilepsy acute and chronic treatment",2.13,"Niger",2026,294239.249032316,21268.4921292396,272970.756903076
"Epilepsy acute and chronic treatment",2.13,"Niger",2027,375620.060763608,22038.2337215269,353581.827042081
"Epilepsy acute and chronic treatment",2.13,"Niger",2028,462398.447924874,22829.9286172349,439568.519307639
"Epilepsy acute and chronic treatment",2.13,"Niger",2029,554790.680174411,23643.6936337885,531146.986540622
"Epilepsy acute and chronic treatment",2.13,"Niger",2030,652991.027102383,24478.7891624751,628512.237939908
"Aspirin for suspected ACS",2.5,"Niger",2020,814.943561214187,814.943561214187,0
"Aspirin for suspected ACS",2.5,"Niger",2021,839.818144141427,839.818144141427,0
"Aspirin for suspected ACS",2.5,"Niger",2022,865.702562253775,865.702562253775,0
"Aspirin for suspected ACS",2.5,"Niger",2023,1449.5511136057,892.976568268698,556.574545337006
"Aspirin for suspected ACS",2.5,"Niger",2024,2071.85688488706,922.167911160564,1149.68897372649
"Aspirin for suspected ACS",2.5,"Niger",2025,2737.33866209079,953.630966395023,1783.70769569577
"Aspirin for suspected ACS",2.5,"Niger",2026,3442.59732652417,985.139121359351,2457.45820516482
"Aspirin for suspected ACS",2.5,"Niger",2027,4197.95068818471,1019.15071039776,3178.79997778695
"Aspirin for suspected ACS",2.5,"Niger",2028,5008.66967236387,1055.76811712502,3952.90155523885
"Aspirin for suspected ACS",2.5,"Niger",2029,5880.00728647447,1095.04602384357,4784.9612626309
"Aspirin for suspected ACS",2.5,"Niger",2030,6817.64963404706,1137.09248557641,5680.55714847065
"Heart failure chronic treatment",2.7,"Niger",2020,431085.526644198,431085.526644198,0
"Heart failure chronic treatment",2.7,"Niger",2021,449353.712827771,449353.712827771,0
"Heart failure chronic treatment",2.7,"Niger",2022,467198.82299206,467198.82299206,0
"Heart failure chronic treatment",2.7,"Niger",2023,786773.885130236,484681.524751073,302092.360379162
"Heart failure chronic treatment",2.7,"Niger",2024,1127812.45518325,501885.703399258,625926.751783987
"Heart failure chronic treatment",2.7,"Niger",2025,1489934.69343403,518784.160431907,971150.533002119
