"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Nigeria",2020,74318.3149984641,74318.3149984641,0
"IDU harm reduction measures",1.1,"Nigeria",2021,76375.0718125197,76375.0718125197,0
"IDU harm reduction measures",1.1,"Nigeria",2022,78519.6249155887,78519.6249155887,0
"IDU harm reduction measures",1.1,"Nigeria",2023,878259.872893969,80759.5285419741,797500.344351994
"IDU harm reduction measures",1.1,"Nigeria",2024,1724504.86196662,83106.0379627153,1641398.82400391
"IDU harm reduction measures",1.1,"Nigeria",2025,2620628.25650905,85563.9355456537,2535064.3209634
"IDU harm reduction measures",1.1,"Nigeria",2026,3566248.14884001,88040.6942268926,3478207.45461312
"IDU harm reduction measures",1.1,"Nigeria",2027,4566604.92533971,90628.156079151,4475976.76926056
"IDU harm reduction measures",1.1,"Nigeria",2028,5624686.85951432,93320.7040970284,5531366.15541729
"IDU harm reduction measures",1.1,"Nigeria",2029,6743077.29001421,96110.2485116612,6646967.04150255
"IDU harm reduction measures",1.1,"Nigeria",2030,7924305.10487082,98992.1542186864,7825312.95065213
"Pulmonary rehabilitation",1.2,"Nigeria",2020,565954.73749884,565954.73749884,0
"Pulmonary rehabilitation",1.2,"Nigeria",2021,583556.815551043,583556.815551043,0
"Pulmonary rehabilitation",1.2,"Nigeria",2022,601180.072640276,601180.072640276,0
"Pulmonary rehabilitation",1.2,"Nigeria",2023,758272.415911069,618887.579498077,139384.836412992
"Pulmonary rehabilitation",1.2,"Nigeria",2024,923876.857786675,636772.840080198,287104.017706477
"Pulmonary rehabilitation",1.2,"Nigeria",2025,1098194.85768062,654841.160381836,443353.697298789
"Pulmonary rehabilitation",1.2,"Nigeria",2026,1286451.5682216,675693.501443657,610758.066777939
"Pulmonary rehabilitation",1.2,"Nigeria",2027,1485305.73609149,696844.027391265,788461.708700228
"Pulmonary rehabilitation",1.2,"Nigeria",2028,1694981.40056459,718288.937699489,976692.462865103
"Pulmonary rehabilitation",1.2,"Nigeria",2029,1915615.13880546,740018.08200391,1175597.05680155
"Pulmonary rehabilitation",1.2,"Nigeria",2030,2147219.41962617,762012.51774643,1385206.90187974
"Depression chronic treatment",2.1,"Nigeria",2020,4056866.55714793,4056866.55714793,0
