"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Pulmonary rehabilitation",1.2,"Pakistan",2020,1195157.10563519,1195157.10563519,0
"Pulmonary rehabilitation",1.2,"Pakistan",2021,1234958.42831174,1234958.42831174,0
"Pulmonary rehabilitation",1.2,"Pakistan",2022,1275159.17853828,1275159.17853828,0
"Pulmonary rehabilitation",1.2,"Pakistan",2023,1530013.37728284,1315576.59138364,214436.785899204
"Pulmonary rehabilitation",1.2,"Pakistan",2024,1799405.24639367,1355889.68371682,443515.562676856
"Pulmonary rehabilitation",1.2,"Pakistan",2025,2083470.98507046,1395977.8666305,687493.118439961
"Pulmonary rehabilitation",1.2,"Pakistan",2026,2396761.64039532,1444274.00173346,952487.638661863
"Pulmonary rehabilitation",1.2,"Pakistan",2027,2726995.49126235,1491603.69028344,1235391.80097891
"Pulmonary rehabilitation",1.2,"Pakistan",2028,3074425.93463402,1538210.30771179,1536215.62692223
"Pulmonary rehabilitation",1.2,"Pakistan",2029,3439936.2683196,1584658.34212439,1855277.92619521
"Pulmonary rehabilitation",1.2,"Pakistan",2030,3824156.03884167,1631353.40376269,2192802.63507898
"Epilepsy acute and chronic treatment",2.13,"Pakistan",2020,5928492.92842873,5928492.92842873,0
"Epilepsy acute and chronic treatment",2.13,"Pakistan",2021,6043835.31979656,6043835.31979656,0
"Epilepsy acute and chronic treatment",2.13,"Pakistan",2022,6160142.42934942,6160142.42934942,0
"Epilepsy acute and chronic treatment",2.13,"Pakistan",2023,6747704.4372111,6276934.36019637,470770.077014728
"Epilepsy acute and chronic treatment",2.13,"Pakistan",2024,7353427.82788322,6393472.80599407,959955.021889149
"Epilepsy acute and chronic treatment",2.13,"Pakistan",2025,7976510.83909746,6509077.4233122,1467433.41578525
"Epilepsy acute and chronic treatment",2.13,"Pakistan",2026,8619743.62741489,6625888.36143455,1993855.26598033
"Epilepsy acute and chronic treatment",2.13,"Pakistan",2027,9278969.13040376,6740626.80641471,2538342.32398905
"Epilepsy acute and chronic treatment",2.13,"Pakistan",2028,9954419.78697176,6853735.84741992,3100683.93955184
"Epilepsy acute and chronic treatment",2.13,"Pakistan",2029,10646892.3466899,6965972.84374967,3680919.50294024
"Epilepsy acute and chronic treatment",2.13,"Pakistan",2030,11357020.7735098,7077884.52435679,4279136.24915305
"CVD primary prevention",2.4,"Pakistan",2020,121771322.852845,121771322.852845,0
"CVD primary prevention",2.4,"Pakistan",2021,125548116.158116,125548116.158116,0
"CVD primary prevention",2.4,"Pakistan",2022,129490698.438405,129490698.438405,0
"CVD primary prevention",2.4,"Pakistan",2023,155328973.220324,133559068.284236,21769904.9360875
"CVD primary prevention",2.4,"Pakistan",2024,182622340.700871,137693590.542792,44928750.1580796
"CVD primary prevention",2.4,"Pakistan",2025,211364762.07474,141860900.828831,69503861.2459095
"CVD primary prevention",2.4,"Pakistan",2026,241568814.411277,146050017.263135,95518797.1481425
"CVD primary prevention",2.4,"Pakistan",2027,273190409.961686,150225289.466182,122965120.495505
"CVD primary prevention",2.4,"Pakistan",2028,306275762.071733,154409201.49788,151866560.573853
"CVD primary prevention",2.4,"Pakistan",2029,340917050.968593,158639906.237521,182277144.731072
"CVD primary prevention",2.4,"Pakistan",2030,377171386.047192,162930680.822571,214240705.224621
"Aspirin for suspected ACS",2.5,"Pakistan",2020,68346.4970215638,68346.4970215638,0
"Aspirin for suspected ACS",2.5,"Pakistan",2021,70456.4781953296,70456.4781953296,0
"Aspirin for suspected ACS",2.5,"Pakistan",2022,72699.396692324,72699.396692324,0
"Aspirin for suspected ACS",2.5,"Pakistan",2023,87309.2508911741,75072.5505992985,12236.7002918756
"Aspirin for suspected ACS",2.5,"Pakistan",2024,102890.708873037,77567.9795497449,25322.7293232918
"Aspirin for suspected ACS",2.5,"Pakistan",2025,119511.032916862,80184.0544434507,39326.9784734109
"Aspirin for suspected ACS",2.5,"Pakistan",2026,137143.953132471,82861.2858031964,54282.6673292742
"Aspirin for suspected ACS",2.5,"Pakistan",2027,155874.201537129,85625.0124729433,70249.1890641858
"Aspirin for suspected ACS",2.5,"Pakistan",2028,175772.475267498,88485.7498951743,87286.7253723239
"Aspirin for suspected ACS",2.5,"Pakistan",2029,196927.141592471,91459.9946675863,105467.146924884
"Aspirin for suspected ACS",2.5,"Pakistan",2030,219404.948677604,94551.1993373712,124853.749340233
"Heart failure chronic treatment",2.7,"Pakistan",2020,8548177.35627611,8548177.35627611,0
"Heart failure chronic treatment",2.7,"Pakistan",2021,8863532.86650001,8863532.86650001,0
"Heart failure chronic treatment",2.7,"Pakistan",2022,9165225.9959021,9165225.9959021,0
"Heart failure chronic treatment",2.7,"Pakistan",2023,10992992.3644062,9452285.60651885,1540706.75788737
"Heart failure chronic treatment",2.7,"Pakistan",2024,12912949.7361449,9723479.08248434,3189470.65366058
"Heart failure chronic treatment",2.7,"Pakistan",2025,14921152.2907784,9978376.30799546,4942775.98278298
"Heart failure chronic treatment",2.7,"Pakistan",2026,17299523.5955671,10385964.8294108,6913558.76615633
"Heart failure chronic treatment",2.7,"Pakistan",2027,19807113.0447908,10769832.5033364,9037280.54145441
"Heart failure chronic treatment",2.7,"Pakistan",2028,22432313.6318629,11128620.4047632,11303693.2270996
"Heart failure chronic treatment",2.7,"Pakistan",2029,25167303.236131,11464902.4475761,13702400.788555
"Heart failure chronic treatment",2.7,"Pakistan",2030,28003924.2542308,11782283.536053,16221640.7181778
"Heart failure acute treatment",3.2,"Pakistan",2020,65883459.8631824,65883459.8631824,0
"Heart failure acute treatment",3.2,"Pakistan",2021,68315952.6924607,68315952.6924607,0
"Heart failure acute treatment",3.2,"Pakistan",2022,70650540.0889757,70650540.0889757,0
"Heart failure acute treatment",3.2,"Pakistan",2023,87275780.2336449,72876745.784323,14399034.4493219
"Heart failure acute treatment",3.2,"Pakistan",2024,104766951.968788,74981772.2221861,29785179.7466014
"Heart failure acute treatment",3.2,"Pakistan",2025,123085218.466145,76958874.9666311,46126343.4995142
"Heart failure acute treatment",3.2,"Pakistan",2026,144546916.369726,80091804.8919216,64455111.4778043
"Heart failure acute treatment",3.2,"Pakistan",2027,167230118.82905,83046601.6943448,84183517.1347054
"Heart failure acute treatment",3.2,"Pakistan",2028,191027663.408265,85809699.5149137,105217963.893351
"Heart failure acute treatment",3.2,"Pakistan",2029,215859902.59972,88397317.2308375,127462585.368882
"Heart failure acute treatment",3.2,"Pakistan",2030,241641158.62701,90833547.2692733,150807611.357737
"Treatment of early-stage breast cancer",4.3,"Pakistan",2020,400704.114162318,400704.114162318,0
