"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2020,61809.2562022271,61809.2562022271,0
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2021,63990.2290553617,63990.2290553617,0
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2022,66175.6948361498,66175.6948361498,0
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2023,95447.3873387055,68370.7468663715,27076.640472334
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2024,126585.361772856,70576.2204154231,56009.1413574324
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2025,159671.927386285,72798.8163976287,86873.1109886562
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2026,195797.37237399,75420.0291959871,120377.343178003
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2027,234280.318369142,78034.0888551729,156246.229513969
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2028,275139.604053569,80636.129622901,194503.474430668
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2029,318378.47202296,83225.1297077222,235153.342315238
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2030,363974.903841385,85802.0390466362,278172.864794749
"Epilepsy acute and chronic treatment",2.13,"Papua New Guinea",2020,285730.339873809,285730.339873809,0
"Epilepsy acute and chronic treatment",2.13,"Papua New Guinea",2021,291205.034430743,291205.034430743,0
"Epilepsy acute and chronic treatment",2.13,"Papua New Guinea",2022,296699.566034073,296699.566034073,0
"Epilepsy acute and chronic treatment",2.13,"Papua New Guinea",2023,324876.18259343,302210.402412493,22665.780180937
"Epilepsy acute and chronic treatment",2.13,"Papua New Guinea",2024,353932.960717603,307730.136723654,46202.8239939498
"Epilepsy acute and chronic treatment",2.13,"Papua New Guinea",2025,383860.713782774,313246.260552966,70614.4532298084
"Epilepsy acute and chronic treatment",2.13,"Papua New Guinea",2026,414828.849217568,318882.077216375,95946.7720011931
"Epilepsy acute and chronic treatment",2.13,"Papua New Guinea",2027,446678.802568932,324499.730357431,122179.072211501
"Epilepsy acute and chronic treatment",2.13,"Papua New Guinea",2028,479411.812533394,330100.636720997,149311.175812397
"Epilepsy acute and chronic treatment",2.13,"Papua New Guinea",2029,513032.112827248,335689.318627271,177342.794199977
"Epilepsy acute and chronic treatment",2.13,"Papua New Guinea",2030,547524.216389792,341258.929223211,206265.28716658
"CVD primary prevention",2.4,"Papua New Guinea",2020,3994895.22071305,3994895.22071305,0
"CVD primary prevention",2.4,"Papua New Guinea",2021,4098853.23769503,4098853.23769503,0
"CVD primary prevention",2.4,"Papua New Guinea",2022,4205755.18300518,4205755.18300518,0
"CVD primary prevention",2.4,"Papua New Guinea",2023,6025636.55414256,4316276.04525297,1709360.5088896
"CVD primary prevention",2.4,"Papua New Guinea",2024,7943283.12759762,4431224.21350901,3512058.9140886
"CVD primary prevention",2.4,"Papua New Guinea",2025,9966501.37426376,4551180.06458742,5415321.30967634
"CVD primary prevention",2.4,"Papua New Guinea",2026,12091849.4148669,4671960.0172428,7419889.39762412
"CVD primary prevention",2.4,"Papua New Guinea",2027,14333455.1187653,4797596.56585157,9535858.55291373
"CVD primary prevention",2.4,"Papua New Guinea",2028,16695684.9460153,4927376.62155882,11768308.3244565
"CVD primary prevention",2.4,"Papua New Guinea",2029,19180209.1234151,5060225.53556219,14119983.5878529
"CVD primary prevention",2.4,"Papua New Guinea",2030,21788250.2615604,5195430.68662115,16592819.5749393
"Aspirin for suspected ACS",2.5,"Papua New Guinea",2020,3156.703597903,3156.703597903,0
"Aspirin for suspected ACS",2.5,"Papua New Guinea",2021,3256.30566722909,3256.30566722909,0
"Aspirin for suspected ACS",2.5,"Papua New Guinea",2022,3359.21082318356,3359.21082318356,0
"Aspirin for suspected ACS",2.5,"Papua New Guinea",2023,4836.90593986449,3464.76609629333,1372.13984357117
"Aspirin for suspected ACS",2.5,"Papua New Guinea",2024,6403.68391623273,3571.84522933467,2831.83868689806
"Aspirin for suspected ACS",2.5,"Papua New Guinea",2025,8061.76613213248,3679.93352210891,4381.83261002357
"Aspirin for suspected ACS",2.5,"Papua New Guinea",2026,9800.71128353011,3783.85820113376,6016.85308239635
"Aspirin for suspected ACS",2.5,"Papua New Guinea",2027,11631.6792332461,3888.56223888847,7743.11699435761
"Aspirin for suspected ACS",2.5,"Papua New Guinea",2028,13558.8393158147,3994.64351186484,9564.19580394987
"Aspirin for suspected ACS",2.5,"Papua New Guinea",2029,15588.3214603173,4103.0366724147,11485.2847879026
"Aspirin for suspected ACS",2.5,"Papua New Guinea",2030,17726.7049150099,4214.50397218205,13512.2009428279
"Heart failure chronic treatment",2.7,"Papua New Guinea",2020,539883.664728908,539883.664728908,0
"Heart failure chronic treatment",2.7,"Papua New Guinea",2021,562669.763906224,562669.763906224,0
"Heart failure chronic treatment",2.7,"Papua New Guinea",2022,584918.85005002,584918.85005002,0
"Heart failure chronic treatment",2.7,"Papua New Guinea",2023,846846.926518447,606612.27574616,240234.650772286
"Heart failure chronic treatment",2.7,"Papua New Guinea",2024,1126254.75594794,627643.299358143,498611.456589792
"Heart failure chronic treatment",2.7,"Papua New Guinea",2025,1423159.67390155,648042.201305973,775117.47259558
"Heart failure chronic treatment",2.7,"Papua New Guinea",2026,1759940.673798,676282.535835205,1083658.13796279
"Heart failure chronic treatment",2.7,"Papua New Guinea",2027,2120750.17848335,703665.061477318,1417085.11700603
"Heart failure chronic treatment",2.7,"Papua New Guinea",2028,2504924.23917402,730117.859747138,1774806.37942688
"Heart failure chronic treatment",2.7,"Papua New Guinea",2029,2911662.62137549,755660.101246823,2156002.52012867
"Heart failure chronic treatment",2.7,"Papua New Guinea",2030,3339611.1715976,780300.954184366,2559310.21741324
"Medical management of ACS",3.1,"Papua New Guinea",2020,1698698.97184611,1698698.97184611,0
