"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Pulmonary rehabilitation",1.2,"Solomon Islands",2020,1332.92716313951,1332.92716313951,0
"Pulmonary rehabilitation",1.2,"Solomon Islands",2021,1383.42817004661,1383.42817004661,0
"Pulmonary rehabilitation",1.2,"Solomon Islands",2022,1434.65427856051,1434.65427856051,0
"Pulmonary rehabilitation",1.2,"Solomon Islands",2023,2324.92763023067,1486.62888818008,838.29874205059
"Pulmonary rehabilitation",1.2,"Solomon Islands",2024,3280.32005309309,1540.51245386819,1739.80759922489
"Pulmonary rehabilitation",1.2,"Solomon Islands",2025,4305.3063423159,1596.07476175012,2709.23158056578
"Pulmonary rehabilitation",1.2,"Solomon Islands",2026,5425.8999658282,1659.69388177945,3766.20608404875
"Pulmonary rehabilitation",1.2,"Solomon Islands",2027,6628.00642376663,1723.56560706701,4904.44081669962
"Pulmonary rehabilitation",1.2,"Solomon Islands",2028,7916.00552601965,1788.14720154431,6127.85832447534
"Pulmonary rehabilitation",1.2,"Solomon Islands",2029,9295.03928277331,1853.90470335824,7441.13457941507
"Pulmonary rehabilitation",1.2,"Solomon Islands",2030,10772.6727280738,1921.58634764908,8851.08638042473
"Epilepsy acute and chronic treatment",2.13,"Solomon Islands",2020,19702.5315078446,19702.5315078446,0
"Epilepsy acute and chronic treatment",2.13,"Solomon Islands",2021,20198.5776265079,20198.5776265079,0
"Epilepsy acute and chronic treatment",2.13,"Solomon Islands",2022,20697.4726050702,20697.4726050702,0
"Epilepsy acute and chronic treatment",2.13,"Solomon Islands",2023,22790.7383738428,21200.6868593887,1590.05151445415
"Epilepsy acute and chronic treatment",2.13,"Solomon Islands",2024,24969.61742494,21711.0987533897,3258.51867155028
"Epilepsy acute and chronic treatment",2.13,"Solomon Islands",2025,27236.9688587007,22229.4819810842,5007.48687761644
"Epilepsy acute and chronic treatment",2.13,"Solomon Islands",2026,29600.3981620374,22759.9673798331,6840.43078220435
"Epilepsy acute and chronic treatment",2.13,"Solomon Islands",2027,32051.0632763321,23293.9286977873,8757.13457854479
"Epilepsy acute and chronic treatment",2.13,"Solomon Islands",2028,34593.9607689627,23834.0846756844,10759.8760932782
"Epilepsy acute and chronic treatment",2.13,"Solomon Islands",2029,37235.079691578,24383.2971991851,12851.782492393
"Epilepsy acute and chronic treatment",2.13,"Solomon Islands",2030,39979.2643770489,24943.1784905445,15036.0858865044
"CVD primary prevention",2.4,"Solomon Islands",2020,191740.944424391,191740.944424391,0
"CVD primary prevention",2.4,"Solomon Islands",2021,197301.290601811,197301.290601811,0
"CVD primary prevention",2.4,"Solomon Islands",2022,203025.138264785,203025.138264785,0
"CVD primary prevention",2.4,"Solomon Islands",2023,326742.844050834,208929.234895752,117813.609155082
"CVD primary prevention",2.4,"Solomon Islands",2024,457712.768237754,215069.245361794,242643.52287596
"CVD primary prevention",2.4,"Solomon Islands",2025,596398.079505474,221443.493536211,374954.585969263
"CVD primary prevention",2.4,"Solomon Islands",2026,743533.292936696,228133.38702655,515399.905910146
"CVD primary prevention",2.4,"Solomon Islands",2027,899128.917824019,234984.550486736,664144.367337283
"CVD primary prevention",2.4,"Solomon Islands",2028,1063694.60847047,242036.717253957,821657.891216517
"CVD primary prevention",2.4,"Solomon Islands",2029,1237670.24351177,249298.354640073,988371.8888717
"CVD primary prevention",2.4,"Solomon Islands",2030,1421482.55639894,256772.537505303,1164710.01889364
"Aspirin for suspected ACS",2.5,"Solomon Islands",2020,145.630938759588,145.630938759588,0
"Aspirin for suspected ACS",2.5,"Solomon Islands",2021,150.912196176051,150.912196176051,0
"Aspirin for suspected ACS",2.5,"Solomon Islands",2022,156.166084054244,156.166084054244,0
"Aspirin for suspected ACS",2.5,"Solomon Islands",2023,252.397308621395,161.390455950769,91.0068526706258
"Aspirin for suspected ACS",2.5,"Solomon Islands",2024,354.652437098872,166.627240239072,188.0251968598
"Aspirin for suspected ACS",2.5,"Solomon Islands",2025,463.066146849162,171.889145267984,291.177001581178
"Aspirin for suspected ACS",2.5,"Solomon Islands",2026,577.523130853037,177.101487113426,400.421643739611
"Aspirin for suspected ACS",2.5,"Solomon Islands",2027,697.998506589379,182.259455821457,515.739050767922
"Aspirin for suspected ACS",2.5,"Solomon Islands",2028,824.997267144767,187.482472854471,637.514794290296
"Aspirin for suspected ACS",2.5,"Solomon Islands",2029,959.349685087535,192.902347094377,766.447337993158
"Aspirin for suspected ACS",2.5,"Solomon Islands",2030,1101.97211773134,198.613036729378,903.359081001967
"Heart failure chronic treatment",2.7,"Solomon Islands",2020,26080.222374981,26080.222374981,0
"Heart failure chronic treatment",2.7,"Solomon Islands",2021,27183.3831004931,27183.3831004931,0
"Heart failure chronic treatment",2.7,"Solomon Islands",2022,28297.3052305297,28297.3052305297,0
"Heart failure chronic treatment",2.7,"Solomon Islands",2023,46014.4071349794,29423.0005398288,16591.4065951506
"Heart failure chronic treatment",2.7,"Solomon Islands",2024,65160.1572950789,30589.4902352033,34570.6670598756
"Heart failure chronic treatment",2.7,"Solomon Islands",2025,85842.1781888884,31790.6409439852,54051.5372449032
