"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Pulmonary rehabilitation",1.2,"Somalia",2020,6846.51982063408,6846.51982063408,0
"Pulmonary rehabilitation",1.2,"Somalia",2021,7045.86707480403,7045.86707480403,0
"Pulmonary rehabilitation",1.2,"Somalia",2022,7256.60832107516,7256.60832107516,0
"Pulmonary rehabilitation",1.2,"Somalia",2023,9372.75181388187,7478.11715538226,1894.63465849962
"Pulmonary rehabilitation",1.2,"Somalia",2024,11616.7760706611,7709.20726808159,3907.5688025795
"Pulmonary rehabilitation",1.2,"Somalia",2025,13995.3678157349,7949.22696843111,6046.14084730382
"Pulmonary rehabilitation",1.2,"Somalia",2026,16530.0946053617,8205.14582745891,8324.9487779028
"Pulmonary rehabilitation",1.2,"Somalia",2027,19221.9129014067,8471.80103720577,10750.1118642009
"Pulmonary rehabilitation",1.2,"Somalia",2028,22076.6681152351,8748.06931832421,13328.5987969109
"Pulmonary rehabilitation",1.2,"Somalia",2029,25099.3492244328,9032.97946752059,16066.3697569123
"Pulmonary rehabilitation",1.2,"Somalia",2030,28294.8902048524,9325.93095059594,18968.9592542565
"Epilepsy acute and chronic treatment",2.13,"Somalia",2020,7532.93186051822,7532.93186051822,0
"Epilepsy acute and chronic treatment",2.13,"Somalia",2021,7748.27329800902,7748.27329800902,0
"Epilepsy acute and chronic treatment",2.13,"Somalia",2022,7971.37122975092,7971.37122975092,0
"Epilepsy acute and chronic treatment",2.13,"Somalia",2023,34513.4777891108,8201.22244493722,26312.2553441736
"Epilepsy acute and chronic treatment",2.13,"Somalia",2024,62573.1994428923,8436.69417824692,54136.5052646453
"Epilepsy acute and chronic treatment",2.13,"Somalia",2025,92177.6246322683,8675.1207914983,83502.50384077
"Epilepsy acute and chronic treatment",2.13,"Somalia",2026,123456.090589732,8923.67798457191,114532.41260516
"Epilepsy acute and chronic treatment",2.13,"Somalia",2027,156418.478997331,9177.13843426784,147241.340563063
"Epilepsy acute and chronic treatment",2.13,"Somalia",2028,191108.146277345,9435.24668955602,181672.899587789
"Epilepsy acute and chronic treatment",2.13,"Somalia",2029,227572.070548314,9698.05434826827,217874.016200046
"Epilepsy acute and chronic treatment",2.13,"Somalia",2030,265817.80567725,9964.12749918693,255853.678178064
"Aspirin for suspected ACS",2.5,"Somalia",2020,693.714713448643,693.714713448643,0
"Aspirin for suspected ACS",2.5,"Somalia",2021,709.51272026509,709.51272026509,0
"Aspirin for suspected ACS",2.5,"Somalia",2022,726.33422928126,726.33422928126,0
"Aspirin for suspected ACS",2.5,"Somalia",2023,932.814232355332,744.252515406363,188.561716948969
"Aspirin for suspected ACS",2.5,"Somalia",2024,1150.21283423407,763.336082338483,386.87675189559
"Aspirin for suspected ACS",2.5,"Somalia",2025,1379.64590094203,783.693694232759,595.952206709275
"Aspirin for suspected ACS",2.5,"Somalia",2026,1620.84969710223,804.690461288367,816.159235813865
"Aspirin for suspected ACS",2.5,"Somalia",2027,1876.73772024495,827.380245010758,1049.35747523419
"Aspirin for suspected ACS",2.5,"Somalia",2028,2148.85014752933,851.849196891625,1297.00095063771
"Aspirin for suspected ACS",2.5,"Somalia",2029,2438.99649241998,878.251085920001,1560.74540649998
"Aspirin for suspected ACS",2.5,"Somalia",2030,2749.07154427549,906.718734369709,1842.35280990578
