"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Sri Lanka",2020,1872808.47912662,1872808.47912662,0
"Epilepsy acute and chronic treatment",2.13,"Sri Lanka",2021,1890020.08192047,1890020.08192047,0
"Epilepsy acute and chronic treatment",2.13,"Sri Lanka",2022,1906904.75559575,1906904.75559575,0
"Epilepsy acute and chronic treatment",2.13,"Sri Lanka",2023,2067650.19241321,1923395.52782624,144254.664586968
"Epilepsy acute and chronic treatment",2.13,"Sri Lanka",2024,2230244.95127918,1939342.12794163,290902.82333755
"Epilepsy acute and chronic treatment",2.13,"Sri Lanka",2025,2394445.50214708,1954645.4152353,439800.086911781
"Epilepsy acute and chronic treatment",2.13,"Sri Lanka",2026,2560026.9793725,1969243.37872859,590783.600643916
"Epilepsy acute and chronic treatment",2.13,"Sri Lanka",2027,2726008.5036452,1982537.73943149,743470.764213704
"Epilepsy acute and chronic treatment",2.13,"Sri Lanka",2028,2892430.52645577,1994758.31946997,897672.206985799
"Epilepsy acute and chronic treatment",2.13,"Sri Lanka",2029,3059529.1207208,2006217.94351949,1053311.17720131
"Epilepsy acute and chronic treatment",2.13,"Sri Lanka",2030,3227475.27747505,2017130.02445864,1210345.25301641
"Aspirin for suspected ACS",2.5,"Sri Lanka",2020,34830.7884682574,34830.7884682574,0
"Aspirin for suspected ACS",2.5,"Sri Lanka",2021,35433.3151322182,35433.3151322182,0
"Aspirin for suspected ACS",2.5,"Sri Lanka",2022,36024.0912297021,36024.0912297021,0
"Aspirin for suspected ACS",2.5,"Sri Lanka",2023,42244.608483819,36591.7789761579,5652.82950766111
"Aspirin for suspected ACS",2.5,"Sri Lanka",2024,48590.2331701759,37121.0173457318,11469.2158244441
"Aspirin for suspected ACS",2.5,"Sri Lanka",2025,55031.2043342388,37603.636271218,17427.5680630207
"Aspirin for suspected ACS",2.5,"Sri Lanka",2026,61505.1835743958,38014.4492295728,23490.734344823
"Aspirin for suspected ACS",2.5,"Sri Lanka",2027,68002.2929941827,38366.649102185,29635.6438919977
"Aspirin for suspected ACS",2.5,"Sri Lanka",2028,74523.1318883544,38674.6343518738,35848.4975364806
"Aspirin for suspected ACS",2.5,"Sri Lanka",2029,81095.9110416199,38961.7932912751,42134.1177503449
"Aspirin for suspected ACS",2.5,"Sri Lanka",2030,87737.3655383397,39239.9160188916,48497.4495194481
"Tobacco tax",5.1,"Sri Lanka",2020,15823.1071831799,15823.1071831799,0
"Tobacco tax",5.1,"Sri Lanka",2021,15889.7407495186,15889.7407495186,0
"Tobacco tax",5.1,"Sri Lanka",2022,15952.5886026929,15952.5886026929,0
"Tobacco tax",5.1,"Sri Lanka",2023,18012.3984346141,16011.0208307681,2001.377603846
"Tobacco tax",5.1,"Sri Lanka",2024,20080.0784564887,16064.0392102863,4016.03924620241
"Tobacco tax",5.1,"Sri Lanka",2025,22152.6533102237,16110.9368946938,6041.71641552988
"Tobacco tax",5.1,"Sri Lanka",2026,24226.3925541342,16150.7342759211,8075.65827821303
"Tobacco tax",5.1,"Sri Lanka",2027,26298.3017616797,16183.2043243404,10115.0974373393
"Tobacco tax",5.1,"Sri Lanka",2028,28367.7524873906,16209.5345251471,12158.2179622436
"Tobacco tax",5.1,"Sri Lanka",2029,30435.4535161305,16231.3062683439,14204.1472477866
"Tobacco tax",5.1,"Sri Lanka",2030,32501.7991423208,16249.5449561209,16252.2541861999
"Alcohol tax",5.2,"Sri Lanka",2020,15823.1071831799,15823.1071831799,0
"Alcohol tax",5.2,"Sri Lanka",2021,15889.7407495186,15889.7407495186,0
"Alcohol tax",5.2,"Sri Lanka",2022,15952.5886026929,15952.5886026929,0
"Alcohol tax",5.2,"Sri Lanka",2023,18012.3984346141,16011.0208307681,2001.377603846
"Alcohol tax",5.2,"Sri Lanka",2024,20080.0532595619,16064.0392102863,4016.01404927559
"Alcohol tax",5.2,"Sri Lanka",2025,22152.5536931466,16110.9368946938,6041.61679845271
"Alcohol tax",5.2,"Sri Lanka",2026,24226.138603967,16150.7342759211,8075.40432804585
"Alcohol tax",5.2,"Sri Lanka",2027,26297.780728348,16183.2043243404,10114.5764040076
"Alcohol tax",5.2,"Sri Lanka",2028,28366.8157827204,16209.5345251471,12157.2812575733
"Alcohol tax",5.2,"Sri Lanka",2029,30433.9133294634,16231.3062683439,14202.6070611195
"Alcohol tax",5.2,"Sri Lanka",2030,32499.4237905669,16249.5449561209,16249.878834446
"Tobacco policy",5.3,"Sri Lanka",2020,60918.9625943237,60918.9625943237,0
"Tobacco policy",5.3,"Sri Lanka",2021,61175.5018244711,61175.5018244711,0
"Tobacco policy",5.3,"Sri Lanka",2022,61417.4660589501,61417.4660589501,0
"Tobacco policy",5.3,"Sri Lanka",2023,77053.0376941341,61642.4301368146,15410.6075573195
"Tobacco policy",5.3,"Sri Lanka",2024,92769.9818098726,61846.5508977557,30923.4309121168
"Tobacco policy",5.3,"Sri Lanka",2025,108548.081496405,62027.1069825442,46520.9745138612
"Tobacco policy",5.3,"Sri Lanka",2026,124362.361126433,62180.326900116,62182.0342263174
"Tobacco policy",5.3,"Sri Lanka",2027,140190.628709318,62305.3365864052,77885.2921229127
"Tobacco policy",5.3,"Sri Lanka",2028,156023.472562141,62406.7078594095,93616.7647027318
"Tobacco policy",5.3,"Sri Lanka",2029,171860.266877906,62490.5290706334,109369.737807272
"Tobacco policy",5.3,"Sri Lanka",2030,187700.108160404,62560.7480185048,125139.360141899
"Alcohol policy",5.4,"Sri Lanka",2020,22152.3500564518,22152.3500564518,0
"Alcohol policy",5.4,"Sri Lanka",2021,22245.637049326,22245.637049326,0
"Alcohol policy",5.4,"Sri Lanka",2022,22333.62404377,22333.62404377,0
"Alcohol policy",5.4,"Sri Lanka",2023,25217.3578084596,22415.4291630752,2801.9286453844
"Alcohol policy",5.4,"Sri Lanka",2024,28112.0819653161,22489.6548944008,5622.4270709153
"Alcohol policy",5.4,"Sri Lanka",2025,31013.6021895532,22555.3116525713,8458.29053698187
