"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Pulmonary rehabilitation",1.2,"Tajikistan",2020,27931.6890728574,27931.6890728574,0
"Pulmonary rehabilitation",1.2,"Tajikistan",2021,29008.8625394426,29008.8625394426,0
"Pulmonary rehabilitation",1.2,"Tajikistan",2022,30088.7761119087,30088.7761119087,0
"Pulmonary rehabilitation",1.2,"Tajikistan",2023,36810.790506148,31175.3399970841,5635.45050906389
"Pulmonary rehabilitation",1.2,"Tajikistan",2024,43976.6446714645,32271.9519964379,11704.6926750266
"Pulmonary rehabilitation",1.2,"Tajikistan",2025,51611.4910586581,33385.5716486883,18225.9194099698
"Pulmonary rehabilitation",1.2,"Tajikistan",2026,59876.3599187404,34593.3718718506,25282.9880468898
"Pulmonary rehabilitation",1.2,"Tajikistan",2027,68621.3358175083,35784.6579215384,32836.67789597
"Pulmonary rehabilitation",1.2,"Tajikistan",2028,77887.3096906632,36978.5561116041,40908.7535790591
"Pulmonary rehabilitation",1.2,"Tajikistan",2029,87720.3483186095,38191.373387425,49528.9749311845
"Pulmonary rehabilitation",1.2,"Tajikistan",2030,98147.838318392,39428.4007231955,58719.4375951965
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2020,275281.404053887,275281.404053887,0
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2021,281729.016752789,281729.016752789,0
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2022,288201.198378901,288201.198378901,0
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2023,316786.113250522,294684.756512113,22101.3567384085
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2024,346388.289297292,301155.844627218,45232.4446700745
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2025,377007.743163178,307613.351187735,69394.3919754428
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2026,408774.504881019,314146.837628218,94627.6672528003
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2027,441378.789839006,320514.36874751,120864.421091497
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2028,474900.399157545,326792.048618209,148108.350539336
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2029,509454.024100365,333065.00710696,176389.016993405
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2030,545148.484492605,339400.381969586,205748.102523019
"CVD primary prevention",2.4,"Tajikistan",2020,4558087.55300344,4558087.55300344,0
"CVD primary prevention",2.4,"Tajikistan",2021,4714833.94928434,4714833.94928434,0
"CVD primary prevention",2.4,"Tajikistan",2022,4868023.09589828,4868023.09589828,0
"CVD primary prevention",2.4,"Tajikistan",2023,5925565.19074536,5018406.47691388,907158.713831479
