"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Pulmonary rehabilitation",1.2,"Tanzania",2020,45853.7524315523,45853.7524315523,0
"Pulmonary rehabilitation",1.2,"Tanzania",2021,47674.3997737032,47674.3997737032,0
"Pulmonary rehabilitation",1.2,"Tanzania",2022,49590.0969603749,49590.0969603749,0
"Pulmonary rehabilitation",1.2,"Tanzania",2023,79008.4830774318,51600.1627060998,27408.320371332
"Pulmonary rehabilitation",1.2,"Tanzania",2024,110752.591666395,53696.1471578224,57056.4445085724
"Pulmonary rehabilitation",1.2,"Tanzania",2025,144959.358742636,55874.3913522727,89084.9673903637
"Pulmonary rehabilitation",1.2,"Tanzania",2026,181902.568881736,58176.6928329295,123725.876048806
"Pulmonary rehabilitation",1.2,"Tanzania",2027,221649.291318781,60564.4726892684,161084.818629512
"Pulmonary rehabilitation",1.2,"Tanzania",2028,264382.567923383,63046.5748757177,201335.993047665
"Pulmonary rehabilitation",1.2,"Tanzania",2029,310330.903526814,65637.8683200733,244693.03520674
"Pulmonary rehabilitation",1.2,"Tanzania",2030,359723.426913706,68347.8284393764,291375.598474329
"Epilepsy acute and chronic treatment",2.13,"Tanzania",2020,86803.5851953602,86803.5851953602,0
"Epilepsy acute and chronic treatment",2.13,"Tanzania",2021,89334.4972646819,89334.4972646819,0
"Epilepsy acute and chronic treatment",2.13,"Tanzania",2022,91919.9754107602,91919.9754107602,0
"Epilepsy acute and chronic treatment",2.13,"Tanzania",2023,397934.290741625,94558.6433445447,303375.647397081
"Epilepsy acute and chronic treatment",2.13,"Tanzania",2024,721273.394717062,97248.0725184145,624025.322198647
"Epilepsy acute and chronic treatment",2.13,"Tanzania",2025,1062307.72708098,99975.170291568,962332.55678941
"Epilepsy acute and chronic treatment",2.13,"Tanzania",2026,1422659.34012094,102829.111659918,1319830.22846102
"Epilepsy acute and chronic treatment",2.13,"Tanzania",2027,1802228.57666894,105731.017876513,1696497.55879242
"Epilepsy acute and chronic treatment",2.13,"Tanzania",2028,2201461.81113992,108679.028991864,2092782.78214805
"Epilepsy acute and chronic treatment",2.13,"Tanzania",2029,2620795.45846592,111672.050676544,2509123.40778938
"Epilepsy acute and chronic treatment",2.13,"Tanzania",2030,3060352.29410759,114698.003944353,2945654.29016324
"Aspirin for suspected ACS",2.5,"Tanzania",2020,5110.35147668888,5110.35147668888,0
"Aspirin for suspected ACS",2.5,"Tanzania",2021,5314.79044992002,5314.79044992002,0
"Aspirin for suspected ACS",2.5,"Tanzania",2022,5530.66841331187,5530.66841331187,0
"Aspirin for suspected ACS",2.5,"Tanzania",2023,8817.10993453133,5758.42351983269,3058.68641469865
"Aspirin for suspected ACS",2.5,"Tanzania",2024,12371.1696044744,5998.11133832254,6373.05826615191
"Aspirin for suspected ACS",2.5,"Tanzania",2025,16213.142908667,6249.92424775001,9963.218660917
"Aspirin for suspected ACS",2.5,"Tanzania",2026,20336.3965619362,6505.27581773402,13831.1207442022
"Aspirin for suspected ACS",2.5,"Tanzania",2027,24778.3619230939,6772.64003836777,18005.7218847261
"Aspirin for suspected ACS",2.5,"Tanzania",2028,29559.4317606363,7052.12562379824,22507.306136838
"Aspirin for suspected ACS",2.5,"Tanzania",2029,34701.2466532144,7344.06925103983,27357.1774021745
"Aspirin for suspected ACS",2.5,"Tanzania",2030,40225.5083080971,7648.69851303788,32576.8097950592
"Heart failure chronic treatment",2.7,"Tanzania",2020,2316455.2115208,2316455.2115208,0
"Heart failure chronic treatment",2.7,"Tanzania",2021,2421660.29151824,2421660.29151824,0
"Heart failure chronic treatment",2.7,"Tanzania",2022,2530034.90556038,2530034.90556038,0
"Heart failure chronic treatment",2.7,"Tanzania",2023,4045460.3702259,2642075.9543017,1403384.4159242
"Heart failure chronic treatment",2.7,"Tanzania",2024,5689063.79629909,2757799.81305047,2931263.98324862
"Heart failure chronic treatment",2.7,"Tanzania",2025,7467837.18369112,2877217.72494359,4590619.45874753
"Heart failure chronic treatment",2.7,"Tanzania",2026,9459916.33234165,3022948.11415714,6436968.21818452
"Heart failure chronic treatment",2.7,"Tanzania",2027,11625059.6735959,3172170.3878018,8452889.28579406
"Heart failure chronic treatment",2.7,"Tanzania",2028,13970681.9213018,3325056.01002851,10645625.9112732
"Heart failure chronic treatment",2.7,"Tanzania",2029,16504771.3355815,3481891.40954714,13022879.9260344
"Heart failure chronic treatment",2.7,"Tanzania",2030,19234435.6591418,3642777.28477105,15591658.3743707
"Cervical cancer screening and treatment",3.3,"Tanzania",2020,1503860.15370392,1503860.15370392,0
"Cervical cancer screening and treatment",3.3,"Tanzania",2021,1553853.07760964,1553853.07760964,0
