"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2020,2262.35762740655,2262.35762740655,0
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2021,2326.93806425363,2326.93806425363,0
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2022,2392.6264643209,2392.6264643209,0
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2023,10349.646193423,2459.32186774407,7890.3243256789
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2024,18742.1961979539,2527.03498910397,16215.16120885
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2025,27577.0432010603,2595.47826125182,24981.5649398084
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2026,36874.3036835115,2665.59578776498,34208.7078957465
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2027,46635.5959764492,2736.53520268795,43899.0607737613
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2028,56868.3583006698,2808.27168094522,54060.0866197245
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2029,67579.0146660727,2880.75072674795,64698.2639393247
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2030,78770.9616959405,2953.83052300686,75817.1311729336
"Aspirin for suspected ACS",2.5,"The Gambia",2020,236.041748516778,236.041748516778,0
"Aspirin for suspected ACS",2.5,"The Gambia",2021,244.182882058679,244.182882058679,0
"Aspirin for suspected ACS",2.5,"The Gambia",2022,252.657868002231,252.657868002231,0
"Aspirin for suspected ACS",2.5,"The Gambia",2023,322.643679828531,261.547907485641,61.0957723428904
"Aspirin for suspected ACS",2.5,"The Gambia",2024,397.606606610593,270.998923840388,126.607682770205
"Aspirin for suspected ACS",2.5,"The Gambia",2025,478.087308432843,281.097443386386,196.989865046458
"Aspirin for suspected ACS",2.5,"The Gambia",2026,564.366461146651,291.753755416733,272.612705729918
"Aspirin for suspected ACS",2.5,"The Gambia",2027,656.99750810644,303.042635455288,353.954872651152
"Aspirin for suspected ACS",2.5,"The Gambia",2028,756.534253445359,315.009901492601,441.524351952758
"Aspirin for suspected ACS",2.5,"The Gambia",2029,863.554745183837,327.694319313269,535.860425870568
"Aspirin for suspected ACS",2.5,"The Gambia",2030,978.654465616484,341.128095853672,637.526369762813
"Tobacco tax",5.1,"The Gambia",2020,340.560369979655,340.560369979655,0
"Tobacco tax",5.1,"The Gambia",2021,350.264393797683,350.264393797683,0
"Tobacco tax",5.1,"The Gambia",2022,360.123147550289,360.123147550289,0
"Tobacco tax",5.1,"The Gambia",2023,416.393053215864,370.127158414101,46.2658948017626
"Tobacco tax",5.1,"The Gambia",2024,475.348126170455,380.278358447864,95.0697677225912
"Tobacco tax",5.1,"The Gambia",2025,537.03975025625,390.573862397705,146.465887858546
"Tobacco tax",5.1,"The Gambia",2026,601.534363733824,401.021746404254,200.51261732957
"Tobacco tax",5.1,"The Gambia",2027,668.826627876636,411.583431044898,257.243196831738
"Tobacco tax",5.1,"The Gambia",2028,738.96755149171,422.263551743488,316.703999748222
"Tobacco tax",5.1,"The Gambia",2029,812.001874383419,433.062169852717,378.939704530702
"Tobacco tax",5.1,"The Gambia",2030,887.984545043585,443.984442218941,444.000102824644
"Alcohol tax",5.2,"The Gambia",2020,340.560369979655,340.560369979655,0
"Alcohol tax",5.2,"The Gambia",2021,350.264393797683,350.264393797683,0
"Alcohol tax",5.2,"The Gambia",2022,360.123147550289,360.123147550289,0
"Alcohol tax",5.2,"The Gambia",2023,416.393053215864,370.127158414101,46.2658948017626
"Alcohol tax",5.2,"The Gambia",2024,475.348036530546,380.278358447864,95.0696780826817
"Alcohol tax",5.2,"The Gambia",2025,537.039360145233,390.573862397705,146.465497747529
"Alcohol tax",5.2,"The Gambia",2026,601.533297859291,401.021746404254,200.511551455037
"Alcohol tax",5.2,"The Gambia",2027,668.824343217202,411.583431044898,257.240912172305
"Alcohol tax",5.2,"The Gambia",2028,738.9633301358,422.263551743488,316.699778392312
"Alcohol tax",5.2,"The Gambia",2029,811.994835263716,433.062169852717,378.932665410999
"Alcohol tax",5.2,"The Gambia",2030,887.973660591272,443.984442218941,443.989218372332
"Alcohol policy",5.4,"The Gambia",2020,0,0,0
"Alcohol policy",5.4,"The Gambia",2021,0,0,0
"Alcohol policy",5.4,"The Gambia",2022,0,0,0
"Alcohol policy",5.4,"The Gambia",2023,129.544505444935,0,129.544505444935
"Alcohol policy",5.4,"The Gambia",2024,266.195065352713,0,266.195065352713
"Alcohol policy",5.4,"The Gambia",2025,410.103543263325,0,410.103543263325
"Alcohol policy",5.4,"The Gambia",2026,561.433176188811,0,561.433176188811
"Alcohol policy",5.4,"The Gambia",2027,720.276886324838,0,720.276886324838
"Alcohol policy",5.4,"The Gambia",2028,886.764375461075,0,886.764375461075
"Alcohol policy",5.4,"The Gambia",2029,1061.02065509598,0,1061.02065509598
"Alcohol policy",5.4,"The Gambia",2030,1243.18512632939,0,1243.18512632939
