"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Pulmonary rehabilitation",1.2,"Timor-Leste",2020,6455.05540874026,6455.05540874026,0
"Pulmonary rehabilitation",1.2,"Timor-Leste",2021,6638.40702703008,6638.40702703008,0
"Pulmonary rehabilitation",1.2,"Timor-Leste",2022,6833.14743187764,6833.14743187764,0
"Pulmonary rehabilitation",1.2,"Timor-Leste",2023,9062.05907549762,7032.00848704545,2030.05058845217
"Pulmonary rehabilitation",1.2,"Timor-Leste",2024,11402.979733137,7224.9628993162,4178.01683382076
"Pulmonary rehabilitation",1.2,"Timor-Leste",2025,13846.4630717189,7408.16969386878,6438.29337785012
"Pulmonary rehabilitation",1.2,"Timor-Leste",2026,16521.2410289303,7643.14834481043,8878.0926841199
"Pulmonary rehabilitation",1.2,"Timor-Leste",2027,19309.3492590935,7862.171542879,11447.1777162145
"Pulmonary rehabilitation",1.2,"Timor-Leste",2028,22213.7510998101,8070.64302391197,14143.1080758981
"Pulmonary rehabilitation",1.2,"Timor-Leste",2029,25256.099459865,8278.46783065888,16977.6316292061
"Pulmonary rehabilitation",1.2,"Timor-Leste",2030,28450.3095056815,8490.23917245994,19960.0703332216
"Epilepsy acute and chronic treatment",2.13,"Timor-Leste",2020,31150.7112274427,31150.7112274427,0
"Epilepsy acute and chronic treatment",2.13,"Timor-Leste",2021,31727.4236621311,31727.4236621311,0
"Epilepsy acute and chronic treatment",2.13,"Timor-Leste",2022,32321.3076572423,32321.3076572423,0
"Epilepsy acute and chronic treatment",2.13,"Timor-Leste",2023,35396.6265927568,32927.09450489,2469.53208786676
"Epilepsy acute and chronic treatment",2.13,"Timor-Leste",2024,38572.306550478,33538.3498418056,5033.95670867241
"Epilepsy acute and chronic treatment",2.13,"Timor-Leste",2025,41834.3178681813,34142.3561396047,7691.96172857656
"Epilepsy acute and chronic treatment",2.13,"Timor-Leste",2026,45170.4389669452,34730.2750024026,10440.1639645426
"Epilepsy acute and chronic treatment",2.13,"Timor-Leste",2027,48577.50267474,35302.2562519767,13275.2464227634
"Epilepsy acute and chronic treatment",2.13,"Timor-Leste",2028,52054.5684013842,35860.0230858269,16194.5453155574
"Epilepsy acute and chronic treatment",2.13,"Timor-Leste",2029,55603.7133282502,36407.0628589883,19196.650469262
"Epilepsy acute and chronic treatment",2.13,"Timor-Leste",2030,59234.0133155238,36950.7346173819,22283.2786981419
"CVD primary prevention",2.4,"Timor-Leste",2020,532504.237232046,532504.237232046,0
"CVD primary prevention",2.4,"Timor-Leste",2021,547972.196109927,547972.196109927,0
"CVD primary prevention",2.4,"Timor-Leste",2022,565582.288348901,565582.288348901,0
"CVD primary prevention",2.4,"Timor-Leste",2023,753216.541230462,584483.62192174,168732.919308721
"CVD primary prevention",2.4,"Timor-Leste",2024,952036.676664888,603464.562074225,348572.114590663
"CVD primary prevention",2.4,"Timor-Leste",2025,1161032.58013529,621912.019204448,539120.560930845
"CVD primary prevention",2.4,"Timor-Leste",2026,1383728.84754834,641638.077405106,742090.770143233
"CVD primary prevention",2.4,"Timor-Leste",2027,1615981.76839893,660471.126451914,955510.641947015
"CVD primary prevention",2.4,"Timor-Leste",2028,1858759.85984634,679032.18541979,1179727.67442655
"CVD primary prevention",2.4,"Timor-Leste",2029,2115261.14242836,698447.175272745,1416813.96715561
"CVD primary prevention",2.4,"Timor-Leste",2030,2388010.32772238,719250.541543302,1668759.78617908
"Aspirin for suspected ACS",2.5,"Timor-Leste",2020,361.790042549329,361.790042549329,0
