"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Togo",2020,11232.5365466096,11232.5365466096,0
"Epilepsy acute and chronic treatment",2.13,"Togo",2021,11502.9591170683,11502.9591170683,0
"Epilepsy acute and chronic treatment",2.13,"Togo",2022,11776.637098613,11776.637098613,0
"Epilepsy acute and chronic treatment",2.13,"Togo",2023,50726.1892236593,12053.7479343349,38672.4412893244
"Epilepsy acute and chronic treatment",2.13,"Togo",2024,91482.9999738319,12334.5305896176,79148.4693842143
"Epilepsy acute and chronic treatment",2.13,"Togo",2025,134079.845085565,12618.5258736456,121461.31921192
"Epilepsy acute and chronic treatment",2.13,"Togo",2026,178600.408841263,12909.3567071395,165691.052134123
"Epilepsy acute and chronic treatment",2.13,"Togo",2027,225059.540419108,13203.8966909796,211855.643728128
"Epilepsy acute and chronic treatment",2.13,"Togo",2028,273497.137306004,13502.2469341471,259994.890371857
"Epilepsy acute and chronic treatment",2.13,"Togo",2029,323952.61122212,13804.4500553271,310148.161166793
"Epilepsy acute and chronic treatment",2.13,"Togo",2030,376454.361114164,14110.1340808561,362344.227033308
"Aspirin for suspected ACS",2.5,"Togo",2020,904.15398019411,904.15398019411,0
"Aspirin for suspected ACS",2.5,"Togo",2021,938.036054562114,938.036054562114,0
"Aspirin for suspected ACS",2.5,"Togo",2022,973.302731136987,973.302731136987,0
"Aspirin for suspected ACS",2.5,"Togo",2023,1379.41634368312,1009.89055368171,369.525790001408
"Aspirin for suspected ACS",2.5,"Togo",2024,1814.51180373385,1047.67839101432,766.833412719532
"Aspirin for suspected ACS",2.5,"Togo",2025,2279.79643039253,1086.5788634158,1193.21756697674
"Aspirin for suspected ACS",2.5,"Togo",2026,2772.39276937766,1124.89243505774,1647.50033431992
"Aspirin for suspected ACS",2.5,"Togo",2027,3296.72270325294,1164.38374616526,2132.33895708768
"Aspirin for suspected ACS",2.5,"Togo",2028,3853.59019473035,1204.87859689401,2648.71159783634
"Aspirin for suspected ACS",2.5,"Togo",2029,4443.20936089983,1246.11233053333,3197.0970303665
"Aspirin for suspected ACS",2.5,"Togo",2030,5066.14919234251,1288.01283285157,3778.13635949094
"Heart failure chronic treatment",2.7,"Togo",2020,330777.7699349,330777.7699349,0
"Heart failure chronic treatment",2.7,"Togo",2021,344538.117348738,344538.117348738,0
"Heart failure chronic treatment",2.7,"Togo",2022,357813.630263383,357813.630263383,0
"Heart failure chronic treatment",2.7,"Togo",2023,506197.712806481,370594.62924269,135603.083563791
"Heart failure chronic treatment",2.7,"Togo",2024,663246.808295497,382872.655088101,280374.153207397
"Heart failure chronic treatment",2.7,"Togo",2025,828457.496456966,394627.497698012,433829.998758953
"Heart failure chronic treatment",2.7,"Togo",2026,1016404.78183766,411939.96671023,604464.81512743
"Heart failure chronic treatment",2.7,"Togo",2027,1216193.45421665,428766.962524148,787426.491692498
"Heart failure chronic treatment",2.7,"Togo",2028,1427438.87957042,445130.031090237,982308.848480182
"Heart failure chronic treatment",2.7,"Togo",2029,1649494.30023153,460985.985870202,1188508.31436133
"Heart failure chronic treatment",2.7,"Togo",2030,1882042.49610918,476411.980418359,1405630.51569082
"Treatment of early-stage breast cancer",4.3,"Togo",2020,1588.42583971356,1588.42583971356,0
"Treatment of early-stage breast cancer",4.3,"Togo",2021,1641.94857983663,1641.94857983663,0
"Treatment of early-stage breast cancer",4.3,"Togo",2022,1698.22857199204,1698.22857199204,0
"Treatment of early-stage breast cancer",4.3,"Togo",2023,4467.43447954597,1757.6791394935,2709.75534005248
"Treatment of early-stage breast cancer",4.3,"Togo",2024,7434.66054776881,1820.5896597869,5614.07088798191
"Treatment of early-stage breast cancer",4.3,"Togo",2025,10617.5866416773,1887.14447862676,8730.44216305052
"Treatment of early-stage breast cancer",4.3,"Togo",2026,13979.570364474,1949.79494646768,12029.7754180063
"Treatment of early-stage breast cancer",4.3,"Togo",2027,17564.153599142,2015.54807561323,15548.6055235288
