"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Uganda",2020,65673.8919358107,65673.8919358107,0
"Epilepsy acute and chronic treatment",2.13,"Uganda",2021,67626.2689309622,67626.2689309622,0
"Epilepsy acute and chronic treatment",2.13,"Uganda",2022,69480.1955647694,69480.1955647694,0
"Epilepsy acute and chronic treatment",2.13,"Uganda",2023,299958.582390377,71277.286904644,228681.295485733
"Epilepsy acute and chronic treatment",2.13,"Uganda",2024,541971.555674935,73074.7577098789,468896.797965057
"Epilepsy acute and chronic treatment",2.13,"Uganda",2025,795893.490254021,74907.4439503884,720986.046303632
"Epilepsy acute and chronic treatment",2.13,"Uganda",2026,1062926.4333986,76837.6887559345,986088.744642662
"Epilepsy acute and chronic treatment",2.13,"Uganda",2027,1342869.82985811,78798.5809424526,1264071.24891566
"Epilepsy acute and chronic treatment",2.13,"Uganda",2028,1635821.36087786,80780.3394668188,1555041.02141104
"Epilepsy acute and chronic treatment",2.13,"Uganda",2029,1941654.46043695,82768.9739238471,1858885.48651311
"Epilepsy acute and chronic treatment",2.13,"Uganda",2030,2260127.78593901,84752.9226072677,2175374.86333174
"Aspirin for suspected ACS",2.5,"Uganda",2020,2921.46520797689,2921.46520797689,0
"Aspirin for suspected ACS",2.5,"Uganda",2021,3048.80939450615,3048.80939450615,0
"Aspirin for suspected ACS",2.5,"Uganda",2022,3178.65345352345,3178.65345352345,0
"Aspirin for suspected ACS",2.5,"Uganda",2023,4699.94797606579,3313.55289630541,1386.39507976037
"Aspirin for suspected ACS",2.5,"Uganda",2024,6348.85165705579,3456.46119259055,2892.39046446524
"Aspirin for suspected ACS",2.5,"Uganda",2025,8139.74006511617,3609.29010563735,4530.44995947883
"Aspirin for suspected ACS",2.5,"Uganda",2026,10080.6986964934,3770.40117346743,6310.29752302594
"Aspirin for suspected ACS",2.5,"Uganda",2027,12185.3602901788,3940.83629000504,8244.52400017374
"Aspirin for suspected ACS",2.5,"Uganda",2028,14466.6589567852,4120.94093669125,10345.7180200939
"Aspirin for suspected ACS",2.5,"Uganda",2029,16938.6400329524,4311.19562241966,12627.4444105327
"Aspirin for suspected ACS",2.5,"Uganda",2030,19615.2207993338,4511.86576813492,15103.3550311989
"Treatment of early-stage breast cancer",4.3,"Uganda",2020,8457.15347057338,8457.15347057338,0
"Treatment of early-stage breast cancer",4.3,"Uganda",2021,8813.08458086292,8813.08458086292,0
"Treatment of early-stage breast cancer",4.3,"Uganda",2022,9177.29746489602,9177.29746489602,0
"Treatment of early-stage breast cancer",4.3,"Uganda",2023,24292.431278743,9557.67788016117,14734.7533985818
"Treatment of early-stage breast cancer",4.3,"Uganda",2024,40683.9362928922,9963.38345006098,30720.5528428312
"Treatment of early-stage breast cancer",4.3,"Uganda",2025,58503.6662538378,10400.5592653615,48103.1069884763
"Treatment of early-stage breast cancer",4.3,"Uganda",2026,77729.1517438902,10845.7349832526,66883.4167606377
"Treatment of early-stage breast cancer",4.3,"Uganda",2027,98576.1168771325,11319.4086413101,87256.7082358224
"Treatment of early-stage breast cancer",4.3,"Uganda",2028,121195.800002183,11823.4507243703,109372.349277812
