"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2020,2167271.9746277,2167271.9746277,0
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2021,2157878.46658745,2157878.46658745,0
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2022,2146521.26561242,2146521.26561242,0
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2023,2293505.43295387,2133493.4260036,160012.006950269
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2024,2438058.47511654,2119355.10074134,318703.374375206
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2025,2580961.6009599,2104942.80536016,476018.795599744
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2026,2725491.16815586,2092709.45746286,632781.710693005
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2027,2868315.132099,2079889.75971029,788425.372388713
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2028,3009746.65643087,2066806.89331533,942939.763115541
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2029,3149872.93794044,2053597.22988323,1096275.70805721
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2030,3288670.25046054,2040333.40625026,1248336.84421028
"CVD primary prevention",2.4,"Ukraine",2020,109550186.849895,109550186.849895,0
"CVD primary prevention",2.4,"Ukraine",2021,109538302.82773,109538302.82773,0
"CVD primary prevention",2.4,"Ukraine",2022,109282228.138028,109282228.138028,0
"CVD primary prevention",2.4,"Ukraine",2023,117583285.861866,108855406.248175,8727879.61369096
"CVD primary prevention",2.4,"Ukraine",2024,125768533.588786,108348978.158353,17419555.4304338
"CVD primary prevention",2.4,"Ukraine",2025,133896339.771204,107824386.222852,26071953.5483522
"CVD primary prevention",2.4,"Ukraine",2026,141870089.306114,107206107.08859,34663982.2175242
"CVD primary prevention",2.4,"Ukraine",2027,149747489.811785,106551536.226,43195953.5857848
"CVD primary prevention",2.4,"Ukraine",2028,157535096.360881,105871346.132398,51663750.2284828
"CVD primary prevention",2.4,"Ukraine",2029,165217640.65751,105161303.44698,60056337.21053
"CVD primary prevention",2.4,"Ukraine",2030,172798455.862019,104430798.294237,68367657.5677825
"Aspirin for suspected ACS",2.5,"Ukraine",2020,114276.144732966,114276.144732966,0
"Aspirin for suspected ACS",2.5,"Ukraine",2021,114775.925661528,114775.925661528,0
"Aspirin for suspected ACS",2.5,"Ukraine",2022,115205.472510424,115205.472510424,0
"Aspirin for suspected ACS",2.5,"Ukraine",2023,124892.253898253,115621.849956769,9270.40394148395
"Aspirin for suspected ACS",2.5,"Ukraine",2024,134765.350141166,116088.439305418,18676.9108357483
"Aspirin for suspected ACS",2.5,"Ukraine",2025,144886.156339524,116643.523536961,28242.6328025635
"Aspirin for suspected ACS",2.5,"Ukraine",2026,155205.980638396,117226.238669602,37979.7419687949
"Aspirin for suspected ACS",2.5,"Ukraine",2027,165752.272955572,117851.501621049,47900.7713345228
"Aspirin for suspected ACS",2.5,"Ukraine",2028,176449.4444635,118461.754208134,57987.6902553665
"Aspirin for suspected ACS",2.5,"Ukraine",2029,187124.15006188,118950.417139281,68173.7329225989
"Aspirin for suspected ACS",2.5,"Ukraine",2030,197639.314584443,119255.870515172,78383.4440692716
"Heart failure chronic treatment",2.7,"Ukraine",2020,10311925.1647049,10311925.1647049,0
"Heart failure chronic treatment",2.7,"Ukraine",2021,10431479.1008256,10431479.1008256,0
"Heart failure chronic treatment",2.7,"Ukraine",2022,10510629.8997885,10510629.8997885,0
"Heart failure chronic treatment",2.7,"Ukraine",2023,11389787.5815085,10544355.3918204,845432.189688094
"Heart failure chronic treatment",2.7,"Ukraine",2024,12238424.4299302,10533564.638536,1704859.79139419
"Heart failure chronic treatment",2.7,"Ukraine",2025,13062154.9831833,10491377.240899,2570777.74228429
"Heart failure chronic treatment",2.7,"Ukraine",2026,14053815.4832812,10566668.8927434,3487146.59053786
"Heart failure chronic treatment",2.7,"Ukraine",2027,15039697.6720339,10615930.9806869,4423766.69134691
"Heart failure chronic treatment",2.7,"Ukraine",2028,16031409.4614255,10651886.1256815,5379523.33574399
"Heart failure chronic treatment",2.7,"Ukraine",2029,17032379.3478923,10679948.6093882,6352430.73850413
"Heart failure chronic treatment",2.7,"Ukraine",2030,18037133.6824856,10699841.1008399,7337292.58164562
"Treatment of early-stage breast cancer",4.3,"Ukraine",2020,242116.038654573,242116.038654573,0
"Treatment of early-stage breast cancer",4.3,"Ukraine",2021,242035.225447581,242035.225447581,0
"Treatment of early-stage breast cancer",4.3,"Ukraine",2022,242325.454777493,242325.454777493,0
"Treatment of early-stage breast cancer",4.3,"Ukraine",2023,399492.622188676,242966.27314399,156526.349044686
"Treatment of early-stage breast cancer",4.3,"Ukraine",2024,558178.950830919,243860.229785287,314318.721045632
"Treatment of early-stage breast cancer",4.3,"Ukraine",2025,718562.962948226,244873.263186797,473689.69976143
"Treatment of early-stage breast cancer",4.3,"Ukraine",2026,876267.0364098,244699.674741267,631567.361668532
"Treatment of early-stage breast cancer",4.3,"Ukraine",2027,1034503.66797075,244630.289057925,789873.378912826
"Treatment of early-stage breast cancer",4.3,"Ukraine",2028,1193337.53810599,244626.899964589,948710.638141404
"Treatment of early-stage breast cancer",4.3,"Ukraine",2029,1352245.0219088,244564.831033949,1107680.19087485
"Treatment of early-stage breast cancer",4.3,"Ukraine",2030,1510568.22053256,244353.085923743,1266215.13460882
"Tobacco policy",5.3,"Ukraine",2020,118395.477266808,118395.477266808,0
"Tobacco policy",5.3,"Ukraine",2021,117699.794030775,117699.794030775,0
"Tobacco policy",5.3,"Ukraine",2022,116952.373097945,116952.373097945,0
