"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Uzbekistan",2020,1384781.94825296,1384781.94825296,0
"Epilepsy acute and chronic treatment",2.13,"Uzbekistan",2021,1405153.25633311,1405153.25633311,0
"Epilepsy acute and chronic treatment",2.13,"Uzbekistan",2022,1425492.02114895,1425492.02114895,0
"Epilepsy acute and chronic treatment",2.13,"Uzbekistan",2023,1554084.42248153,1445659.9278898,108424.494591735
"Epilepsy acute and chronic treatment",2.13,"Uzbekistan",2024,1685582.13795867,1465410.8622561,220171.275702569
"Epilepsy acute and chronic treatment",2.13,"Uzbekistan",2025,1819765.77269333,1484617.52387302,335148.248820313
"Epilepsy acute and chronic treatment",2.13,"Uzbekistan",2026,1957166.6767948,1503710.70626406,453455.97053074
"Epilepsy acute and chronic treatment",2.13,"Uzbekistan",2027,2096433.98268647,1521701.44267187,574732.540014599
"Epilepsy acute and chronic treatment",2.13,"Uzbekistan",2028,2237702.25166643,1538828.64512063,698873.606545805
"Epilepsy acute and chronic treatment",2.13,"Uzbekistan",2029,2381295.48605637,1555415.73846022,825879.747596149
"Epilepsy acute and chronic treatment",2.13,"Uzbekistan",2030,2527567.27981793,1571753.58540733,955813.694410605
"CVD primary prevention",2.4,"Uzbekistan",2020,32280637.5035266,32280637.5035266,0
"CVD primary prevention",2.4,"Uzbekistan",2021,33235026.193668,33235026.193668,0
"CVD primary prevention",2.4,"Uzbekistan",2022,34205507.8982405,34205507.8982405,0
"CVD primary prevention",2.4,"Uzbekistan",2023,38860798.8767632,35172963.5992252,3687835.27753805
"CVD primary prevention",2.4,"Uzbekistan",2024,43687764.6784479,36102772.9825313,7584991.6959166
"CVD primary prevention",2.4,"Uzbekistan",2025,48651006.5246136,36975344.2942987,11675662.2303149
"CVD primary prevention",2.4,"Uzbekistan",2026,53762614.1142957,37808968.914817,15953645.1994788
"CVD primary prevention",2.4,"Uzbekistan",2027,58949775.2710957,38562506.7790402,20387268.4920555
"CVD primary prevention",2.4,"Uzbekistan",2028,64218541.6207357,39253836.2890365,24964705.3316992
"CVD primary prevention",2.4,"Uzbekistan",2029,69594958.829069,39908270.3384415,29686688.4906275
"CVD primary prevention",2.4,"Uzbekistan",2030,75093012.635509,40539099.0777589,34553913.55775
"Aspirin for suspected ACS",2.5,"Uzbekistan",2020,21098.7150567327,21098.7150567327,0
"Aspirin for suspected ACS",2.5,"Uzbekistan",2021,21741.5088307243,21741.5088307243,0
"Aspirin for suspected ACS",2.5,"Uzbekistan",2022,22420.3527794262,22420.3527794262,0
"Aspirin for suspected ACS",2.5,"Uzbekistan",2023,25564.3400673894,23138.3200710823,2426.01999630715
"Aspirin for suspected ACS",2.5,"Uzbekistan",2024,28918.4698330483,23893.5299974084,5024.93983563992
"Aspirin for suspected ACS",2.5,"Uzbekistan",2025,32495.9907195948,24685.4365256793,7810.55419391556
"Aspirin for suspected ACS",2.5,"Uzbekistan",2026,36301.415854426,25506.0918143698,10795.3240400562
"Aspirin for suspected ACS",2.5,"Uzbekistan",2027,40321.5774001759,26339.4613814861,13982.1160186898
"Aspirin for suspected ACS",2.5,"Uzbekistan",2028,44569.3798156528,27189.6548631503,17379.7249525025
"Aspirin for suspected ACS",2.5,"Uzbekistan",2029,49060.027994281,28061.3500710511,20998.6779232299
"Aspirin for suspected ACS",2.5,"Uzbekistan",2030,53796.5002373692,28951.824630069,24844.6756073002
"Heart failure chronic treatment",2.7,"Uzbekistan",2020,4575242.42869934,4575242.42869934,0
"Heart failure chronic treatment",2.7,"Uzbekistan",2021,4763236.65820714,4763236.65820714,0
"Heart failure chronic treatment",2.7,"Uzbekistan",2022,4953533.49168418,4953533.49168418,0
"Heart failure chronic treatment",2.7,"Uzbekistan",2023,5686416.07447456,5146783.16912155,539632.90535301
"Heart failure chronic treatment",2.7,"Uzbekistan",2024,6477267.33350306,5342852.07828685,1134415.25521621
"Heart failure chronic treatment",2.7,"Uzbekistan",2025,7331329.18682389,5543941.47734316,1787387.70948073
"Heart failure chronic treatment",2.7,"Uzbekistan",2026,8331184.10338548,5803068.69178604,2528115.41159944
"Heart failure chronic treatment",2.7,"Uzbekistan",2027,9402144.21153848,6057985.16137474,3344159.05016374
"Heart failure chronic treatment",2.7,"Uzbekistan",2028,10549828.0632623,6311737.39444227,4238090.66881999
"Heart failure chronic treatment",2.7,"Uzbekistan",2029,11781390.9355447,6568110.10447277,5213280.83107198
"Heart failure chronic treatment",2.7,"Uzbekistan",2030,13101911.5999617,6829584.54322259,6272327.05673913
"Heart failure acute treatment",3.2,"Uzbekistan",2020,20196892.6782475,20196892.6782475,0
"Heart failure acute treatment",3.2,"Uzbekistan",2021,21022960.7977487,21022960.7977487,0
"Heart failure acute treatment",3.2,"Uzbekistan",2022,21850908.4116487,21850908.4116487,0
