"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Depression chronic treatment",2.1,"Vietnam",2020,1490932.15968608,1490932.15968608,0
"Depression chronic treatment",2.1,"Vietnam",2021,1505789.11679809,1505789.11679809,0
"Depression chronic treatment",2.1,"Vietnam",2022,1521448.41600705,1521448.41600705,0
"Depression chronic treatment",2.1,"Vietnam",2023,1864283.94325546,1537714.90721248,326569.036042975
"Depression chronic treatment",2.1,"Vietnam",2024,2214367.55036445,1554059.31236278,660308.23800167
"Depression chronic treatment",2.1,"Vietnam",2025,2571446.72071217,1570239.91668703,1001206.80402514
"Depression chronic treatment",2.1,"Vietnam",2026,2937561.98629515,1587360.2520149,1350201.73428025
"Depression chronic treatment",2.1,"Vietnam",2027,3309691.24447523,1603620.05390756,1706071.19056767
"Depression chronic treatment",2.1,"Vietnam",2028,3688275.93934194,1619415.26865455,2068860.6706874
"Depression chronic treatment",2.1,"Vietnam",2029,4074546.08947349,1635323.36503012,2439222.72444337
"Depression chronic treatment",2.1,"Vietnam",2030,4469154.89253989,1651524.15462991,2817630.73790997
"Epilepsy acute and chronic treatment",2.13,"Vietnam",2020,3492820.65550276,3492820.65550276,0
"Epilepsy acute and chronic treatment",2.13,"Vietnam",2021,3529879.4775496,3529879.4775496,0
"Epilepsy acute and chronic treatment",2.13,"Vietnam",2022,3566449.33619176,3566449.33619176,0
"Epilepsy acute and chronic treatment",2.13,"Vietnam",2023,3872717.28726383,3602527.70908263,270189.578181197
"Epilepsy acute and chronic treatment",2.13,"Vietnam",2024,4184352.05980924,3638116.75993546,546235.299873787
"Epilepsy acute and chronic treatment",2.13,"Vietnam",2025,4501022.75463469,3672965.58845784,828057.166176844
"Epilepsy acute and chronic treatment",2.13,"Vietnam",2026,4821645.75944727,3706273.14050651,1115372.61894076
"Epilepsy acute and chronic treatment",2.13,"Vietnam",2027,5146159.47017319,3738179.30545891,1407980.16471429
"Epilepsy acute and chronic treatment",2.13,"Vietnam",2028,5474234.39454559,3768607.89157551,1705626.50297008
"Epilepsy acute and chronic treatment",2.13,"Vietnam",2029,5805761.5618485,3797638.98832422,2008122.57352428
"Epilepsy acute and chronic treatment",2.13,"Vietnam",2030,6141195.77079153,3825681.64626284,2315514.12452869
"CVD primary prevention",2.4,"Vietnam",2020,98101700.3476336,98101700.3476336,0
"CVD primary prevention",2.4,"Vietnam",2021,100189304.701988,100189304.701988,0
"CVD primary prevention",2.4,"Vietnam",2022,102321975.570556,102321975.570556,0
"CVD primary prevention",2.4,"Vietnam",2023,126596255.328076,104420225.105476,22176030.2225995
"CVD primary prevention",2.4,"Vietnam",2024,151543083.335065,106350517.253844,45192566.0812209
"CVD primary prevention",2.4,"Vietnam",2025,176937315.44683,108035392.06376,68901923.3830693
"CVD primary prevention",2.4,"Vietnam",2026,202774684.186342,109551833.45005,93222850.7362925
"CVD primary prevention",2.4,"Vietnam",2027,228703314.043994,110776999.705701,117926314.338294
"CVD primary prevention",2.4,"Vietnam",2028,254725016.433449,111789456.462001,142935559.971447
"CVD primary prevention",2.4,"Vietnam",2029,281038075.491064,112719855.877032,168318219.614032
"CVD primary prevention",2.4,"Vietnam",2030,307802917.069978,113643494.684566,194159422.385412
"Aspirin for suspected ACS",2.5,"Vietnam",2020,84947.8496901592,84947.8496901592,0
"Aspirin for suspected ACS",2.5,"Vietnam",2021,87052.1203041457,87052.1203041457,0
"Aspirin for suspected ACS",2.5,"Vietnam",2022,89229.3621944982,89229.3621944982,0
"Aspirin for suspected ACS",2.5,"Vietnam",2023,110898.147877456,91471.9754951252,19426.1723823309
"Aspirin for suspected ACS",2.5,"Vietnam",2024,133598.004573347,93751.8702108604,39846.1343624868
"Aspirin for suspected ACS",2.5,"Vietnam",2025,157336.198627335,96052.4221026145,61283.7765247207
"Aspirin for suspected ACS",2.5,"Vietnam",2026,182116.528435844,98362.0533594815,83754.4750763628
"Aspirin for suspected ACS",2.5,"Vietnam",2027,207829.125167767,100619.408773782,107209.716393985
"Aspirin for suspected ACS",2.5,"Vietnam",2028,234514.81542394,102852.300038384,131662.515385556
"Aspirin for suspected ACS",2.5,"Vietnam",2029,262300.016010316,105113.339465783,157186.676544533
"Aspirin for suspected ACS",2.5,"Vietnam",2030,291257.63598886,107418.484956412,183839.151032448
"Heart failure chronic treatment",2.7,"Vietnam",2020,24761073.5310767,24761073.5310767,0
"Heart failure chronic treatment",2.7,"Vietnam",2021,25637357.366512,25637357.366512,0
"Heart failure chronic treatment",2.7,"Vietnam",2022,26560776.906158,26560776.906158,0
"Heart failure chronic treatment",2.7,"Vietnam",2023,33384669.243513,27536633.437106,5848035.80640702
"Heart failure chronic treatment",2.7,"Vietnam",2024,40717055.7293424,28560892.4147044,12156163.314638
"Heart failure chronic treatment",2.7,"Vietnam",2025,48595794.2092715,29631472.707908,18964321.5013635
"Heart failure chronic treatment",2.7,"Vietnam",2026,57195096.7805083,30819534.909222,26375561.8712864
"Heart failure chronic treatment",2.7,"Vietnam",2027,66367709.2568699,32011861.1821318,34355848.0747382
"Heart failure chronic treatment",2.7,"Vietnam",2028,76143462.1411567,33215229.4464823,42928232.6946744
"Heart failure chronic treatment",2.7,"Vietnam",2029,86586187.8035341,34447598.903766,52138588.8997681
"Heart failure chronic treatment",2.7,"Vietnam",2030,97765300.1976923,35722898.6178096,62042401.5798828
"Treatment of early-stage breast cancer",4.3,"Vietnam",2020,312184.642317482,312184.642317482,0
"Treatment of early-stage breast cancer",4.3,"Vietnam",2021,320312.014445569,320312.014445569,0
"Treatment of early-stage breast cancer",4.3,"Vietnam",2022,328738.270531357,328738.270531357,0
"Treatment of early-stage breast cancer",4.3,"Vietnam",2023,554696.841843812,337359.48275881,217337.359085002
"Treatment of early-stage breast cancer",4.3,"Vietnam",2024,791936.346008443,346025.719523028,445910.626485415
"Treatment of early-stage breast cancer",4.3,"Vietnam",2025,1040340.23764423,354647.128323057,685693.109321172
