"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Yemen",2020,751971.877453617,751971.877453617,0
"Epilepsy acute and chronic treatment",2.13,"Yemen",2021,766830.798089876,766830.798089876,0
"Epilepsy acute and chronic treatment",2.13,"Yemen",2022,781488.847241005,781488.847241005,0
"Epilepsy acute and chronic treatment",2.13,"Yemen",2023,855635.558859725,795940.054753233,59695.5041064924
"Epilepsy acute and chronic treatment",2.13,"Yemen",2024,931727.799795022,810181.548809193,121546.250985828
"Epilepsy acute and chronic treatment",2.13,"Yemen",2025,1009756.01878604,824241.6533409,185514.36544514
"Epilepsy acute and chronic treatment",2.13,"Yemen",2026,1090044.10015035,838396.663632145,251647.436518201
"Epilepsy acute and chronic treatment",2.13,"Yemen",2027,1172152.84997002,852309.416336319,319843.433633697
"Epilepsy acute and chronic treatment",2.13,"Yemen",2028,1255998.14473041,865957.654815335,390040.489915076
"Epilepsy acute and chronic treatment",2.13,"Yemen",2029,1341498.70909969,879325.99641718,462172.712682514
"Epilepsy acute and chronic treatment",2.13,"Yemen",2030,1428559.14092686,892393.821439338,536165.31948752
"Aspirin for suspected ACS",2.5,"Yemen",2020,11600.0989804409,11600.0989804409,0
"Aspirin for suspected ACS",2.5,"Yemen",2021,12094.225478351,12094.225478351,0
"Aspirin for suspected ACS",2.5,"Yemen",2022,12616.5735323481,12616.5735323481,0
"Aspirin for suspected ACS",2.5,"Yemen",2023,15132.9391521339,13171.1821353784,1961.75701675551
"Aspirin for suspected ACS",2.5,"Yemen",2024,17866.4640696689,13764.4333211622,4102.03074850665
"Aspirin for suspected ACS",2.5,"Yemen",2025,20840.0157961097,14399.8148619288,6440.20093418095
"Aspirin for suspected ACS",2.5,"Yemen",2026,24030.6002346346,15050.6680988057,8979.9321358289
"Aspirin for suspected ACS",2.5,"Yemen",2027,27482.3117225019,15737.9780723507,11744.3336501512
"Aspirin for suspected ACS",2.5,"Yemen",2028,31214.8005213194,16463.235393939,14751.5651273804
"Aspirin for suspected ACS",2.5,"Yemen",2029,35248.9189764991,17228.1203065852,18020.798669914
"Aspirin for suspected ACS",2.5,"Yemen",2030,39602.1720787817,18032.3664007692,21569.8056780125
"Heart failure chronic treatment",2.7,"Yemen",2020,3087048.87341362,3087048.87341362,0
"Heart failure chronic treatment",2.7,"Yemen",2021,3204951.31931428,3204951.31931428,0
"Heart failure chronic treatment",2.7,"Yemen",2022,3322513.88454744,3322513.88454744,0
"Heart failure chronic treatment",2.7,"Yemen",2023,3952816.54705213,3440393.57890497,512422.96814716
"Heart failure chronic treatment",2.7,"Yemen",2024,4621942.33916594,3560102.30573191,1061840.03343403
"Heart failure chronic treatment",2.7,"Yemen",2025,5332995.86361399,3682963.15561821,1650032.70799578
"Heart failure chronic treatment",2.7,"Yemen",2026,6117381.45235405,3827342.68850659,2290038.76384745
"Heart failure chronic treatment",2.7,"Yemen",2027,6950215.48184857,3973236.18035557,2976979.301493
"Heart failure chronic treatment",2.7,"Yemen",2028,7833125.82843941,4120967.83400292,3712157.9944365
"Heart failure chronic treatment",2.7,"Yemen",2029,8768315.69568336,4271124.27257017,4497191.42311319
"Heart failure chronic treatment",2.7,"Yemen",2030,9758647.68252353,4424523.48494436,5334124.19757916
"Tobacco tax",5.1,"Yemen",2020,12327.0265907094,12327.0265907094,0
"Tobacco tax",5.1,"Yemen",2021,12600.613067165,12600.613067165,0
"Tobacco tax",5.1,"Yemen",2022,12872.7084001498,12872.7084001498,0
"Tobacco tax",5.1,"Yemen",2023,14786.4736842479,13143.5321637759,1642.94152047199
"Tobacco tax",5.1,"Yemen",2024,16766.9530870618,13413.5528624602,3353.40022460153
"Tobacco tax",5.1,"Yemen",2025,18814.3688772179,13683.1430653319,5131.22581188601
"Tobacco tax",5.1,"Yemen",2026,20928.5079981339,13952.2587426517,6976.24925548218
"Tobacco tax",5.1,"Yemen",2027,23107.5775795199,14219.8965114694,8887.68106805054
"Tobacco tax",5.1,"Yemen",2028,25350.6221429487,14485.8173951241,10864.8047478246
"Tobacco tax",5.1,"Yemen",2029,27656.3529480845,14749.6680286676,12906.6849194169
"Tobacco tax",5.1,"Yemen",2030,30023.477130149,15011.1812187737,15012.2959113753
