"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Pulmonary rehabilitation",1.2,"Zimbabwe",2020,42827.9765969854,42827.9765969854,0
"Pulmonary rehabilitation",1.2,"Zimbabwe",2021,44232.3352585788,44232.3352585788,0
"Pulmonary rehabilitation",1.2,"Zimbabwe",2022,45611.3629950654,45611.3629950654,0
"Pulmonary rehabilitation",1.2,"Zimbabwe",2023,54315.1865950607,47020.7009857216,7294.48560933913
"Pulmonary rehabilitation",1.2,"Zimbabwe",2024,63644.7283977733,48545.3594287411,15099.3689690322
"Pulmonary rehabilitation",1.2,"Zimbabwe",2025,73706.7688872318,50217.3001744668,23489.468712765
"Pulmonary rehabilitation",1.2,"Zimbabwe",2026,84520.6094275234,51998.0355228409,32522.5739046826
"Pulmonary rehabilitation",1.2,"Zimbabwe",2027,96244.8036531492,53945.0008029301,42299.802850219
"Pulmonary rehabilitation",1.2,"Zimbabwe",2028,108917.137274252,56035.8084075261,52881.3288667264
"Pulmonary rehabilitation",1.2,"Zimbabwe",2029,122494.437403758,58218.725730456,64275.7116733017
"Pulmonary rehabilitation",1.2,"Zimbabwe",2030,136957.932382744,60470.0929213741,76487.8394613696
"Depression chronic treatment",2.1,"Zimbabwe",2020,260337.960214778,260337.960214778,0
"Depression chronic treatment",2.1,"Zimbabwe",2021,267640.580746708,267640.580746708,0
"Depression chronic treatment",2.1,"Zimbabwe",2022,274783.77044656,274783.77044656,0
"Depression chronic treatment",2.1,"Zimbabwe",2023,325852.220502585,282090.530959877,43761.6895427082
"Depression chronic treatment",2.1,"Zimbabwe",2024,380064.93816741,289998.709607474,90066.2285599358
"Depression chronic treatment",2.1,"Zimbabwe",2025,437909.331172882,298639.008248148,139270.322924734
"Depression chronic treatment",2.1,"Zimbabwe",2026,499071.776284506,307590.508720785,191481.26756372
"Depression chronic treatment",2.1,"Zimbabwe",2027,564498.130160888,317296.316747339,247201.813413549
"Depression chronic treatment",2.1,"Zimbabwe",2028,634196.391279032,327573.605949636,306622.785329395
"Depression chronic treatment",2.1,"Zimbabwe",2029,707715.788034624,338079.059840856,369636.728193768
"Depression chronic treatment",2.1,"Zimbabwe",2030,784938.758625269,348718.194549873,436220.564075396
