"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Afghanistan",2020,24766.6021086441,24766.6021086441,0
"IDU harm reduction measures",1.1,"Afghanistan",2021,25689.3156495189,25689.3156495189,0
"IDU harm reduction measures",1.1,"Afghanistan",2022,26640.6497536399,26640.6497536399,0
"IDU harm reduction measures",1.1,"Afghanistan",2023,300261.504991175,27610.2533325218,272651.251658653
"IDU harm reduction measures",1.1,"Afghanistan",2024,593137.364420635,28584.492234646,564552.872185989
"IDU harm reduction measures",1.1,"Afghanistan",2025,905218.770057919,29556.1516595455,875662.618398373
"IDU harm reduction measures",1.1,"Afghanistan",2026,1237101.17566908,30540.3702787691,1206560.80539031
"IDU harm reduction measures",1.1,"Afghanistan",2027,1588413.08831099,31520.8691549464,1556892.21915604
"IDU harm reduction measures",1.1,"Afghanistan",2028,1958668.51115651,32489.9814833551,1926178.52967316
"IDU harm reduction measures",1.1,"Afghanistan",2029,2347241.43277275,33442.3566391664,2313799.07613358
"IDU harm reduction measures",1.1,"Afghanistan",2030,2753550.83584879,34375.9570126045,2719174.87883618
"Pulmonary rehabilitation",1.2,"Afghanistan",2020,66134.3496663329,66134.3496663329,0
"Pulmonary rehabilitation",1.2,"Afghanistan",2021,68642.9229069491,68642.9229069491,0
"Pulmonary rehabilitation",1.2,"Afghanistan",2022,71295.4433121468,71295.4433121468,0
"Pulmonary rehabilitation",1.2,"Afghanistan",2023,81081.4360354672,74089.8226132543,6991.61342221293
"Pulmonary rehabilitation",1.2,"Afghanistan",2024,91563.3878340362,77012.3964344387,14550.9913995975
"Pulmonary rehabilitation",1.2,"Afghanistan",2025,102802.638771358,80058.3596273562,22744.2791440021
"Pulmonary rehabilitation",1.2,"Afghanistan",2026,114930.879885517,83268.6147383971,31662.2651471198
"Pulmonary rehabilitation",1.2,"Afghanistan",2027,127993.38448807,86614.4517254217,41378.9327626479
"Pulmonary rehabilitation",1.2,"Afghanistan",2028,142069.550206701,90097.4820439011,51972.0681627994
"Pulmonary rehabilitation",1.2,"Afghanistan",2029,157230.838241359,93719.108969999,63511.7292713605
"Pulmonary rehabilitation",1.2,"Afghanistan",2030,173535.780111749,97480.8512565959,76054.9288551532
"Depression chronic treatment",2.1,"Afghanistan",2020,0,0,0
"Depression chronic treatment",2.1,"Afghanistan",2021,0,0,0
"Depression chronic treatment",2.1,"Afghanistan",2022,0,0,0
"Depression chronic treatment",2.1,"Afghanistan",2023,0,0,0
"Depression chronic treatment",2.1,"Afghanistan",2024,0,0,0
"Depression chronic treatment",2.1,"Afghanistan",2025,0,0,0
"Depression chronic treatment",2.1,"Afghanistan",2026,0,0,0
"Depression chronic treatment",2.1,"Afghanistan",2027,0,0,0
"Depression chronic treatment",2.1,"Afghanistan",2028,0,0,0
"Depression chronic treatment",2.1,"Afghanistan",2029,0,0,0
"Depression chronic treatment",2.1,"Afghanistan",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Afghanistan",2020,779016.817797224,779016.817797224,0
"Bipolar disorder chronic treatment",2.11,"Afghanistan",2021,804686.126901928,804686.126901928,0
"Bipolar disorder chronic treatment",2.11,"Afghanistan",2022,831234.822871785,831234.822871785,0
"Bipolar disorder chronic treatment",2.11,"Afghanistan",2023,3071123.56099974,858406.585510786,2212716.97548895
"Bipolar disorder chronic treatment",2.11,"Afghanistan",2024,5452481.25594018,885782.263505276,4566698.9924349
"Bipolar disorder chronic treatment",2.11,"Afghanistan",2025,7975385.50632146,913137.36021124,7062248.14611022
"Bipolar disorder chronic treatment",2.11,"Afghanistan",2026,10636083.0706201,940086.015315736,9695997.05530434
"Bipolar disorder chronic treatment",2.11,"Afghanistan",2027,13438446.3439792,967061.879470642,12471384.4645086
"Bipolar disorder chronic treatment",2.11,"Afghanistan",2028,16383834.6989786,994067.105660396,15389767.5933182
"Bipolar disorder chronic treatment",2.11,"Afghanistan",2029,19474933.5428027,1021171.90106258,18453761.6417401
"Bipolar disorder chronic treatment",2.11,"Afghanistan",2030,22712683.6663616,1048336.95422912,21664346.7121325
"Schizophrenia chronic treatment",2.12,"Afghanistan",2020,1428240.31378991,1428240.31378991,0
"Schizophrenia chronic treatment",2.12,"Afghanistan",2021,1480791.94988962,1480791.94988962,0
"Schizophrenia chronic treatment",2.12,"Afghanistan",2022,1536025.08762404,1536025.08762404,0
"Schizophrenia chronic treatment",2.12,"Afghanistan",2023,2031758.46198001,1593536.04861177,438222.413368238
"Schizophrenia chronic treatment",2.12,"Afghanistan",2024,2561704.91170891,1652665.04419762,909039.86751129
"Schizophrenia chronic treatment",2.12,"Afghanistan",2025,3126647.1018249,1713012.85315528,1413634.24866962
"Schizophrenia chronic treatment",2.12,"Afghanistan",2026,3726908.28412251,1774140.72171081,1952767.56241171
"Schizophrenia chronic treatment",2.12,"Afghanistan",2027,4364912.9592983,1836681.41587633,2528231.54342198
"Schizophrenia chronic treatment",2.12,"Afghanistan",2028,5041501.24135262,1900402.30311389,3141098.93823873
"Schizophrenia chronic treatment",2.12,"Afghanistan",2029,5757489.64733993,1965154.71573771,3792334.93160222
"Schizophrenia chronic treatment",2.12,"Afghanistan",2030,6513526.36372004,2030799.81052126,4482726.55319878
"Epilepsy acute and chronic treatment",2.13,"Afghanistan",2020,22148.2556493047,22148.2556493047,0
"Epilepsy acute and chronic treatment",2.13,"Afghanistan",2021,22633.1866942615,22633.1866942615,0
"Epilepsy acute and chronic treatment",2.13,"Afghanistan",2022,23122.2438334092,23122.2438334092,0
"Epilepsy acute and chronic treatment",2.13,"Afghanistan",2023,99370.8180711474,23612.8676604707,75757.9504106767
"Epilepsy acute and chronic treatment",2.13,"Afghanistan",2024,178750.132053238,24100.6392985497,154649.492754688
"Epilepsy acute and chronic treatment",2.13,"Afghanistan",2025,261208.544665782,24582.0378018903,236626.506863892
"Epilepsy acute and chronic treatment",2.13,"Afghanistan",2026,346760.788470203,25060.8729266321,321699.91554357
"Epilepsy acute and chronic treatment",2.13,"Afghanistan",2027,435346.152060943,25533.2427759908,409812.909284952
"Epilepsy acute and chronic treatment",2.13,"Afghanistan",2028,526956.047158092,26000.1028077152,500955.944350377
"Epilepsy acute and chronic treatment",2.13,"Afghanistan",2029,621600.210753478,26462.691852765,595137.518900713
"Epilepsy acute and chronic treatment",2.13,"Afghanistan",2030,719288.903905906,26921.8718125288,692367.032093378
"Asthma/COPD chronic treatment",2.14,"Afghanistan",2020,16240360.2064726,16240360.2064726,0
"Asthma/COPD chronic treatment",2.14,"Afghanistan",2021,16627572.8831612,16627572.8831612,0
"Asthma/COPD chronic treatment",2.14,"Afghanistan",2022,17025490.0144925,17025490.0144925,0
"Asthma/COPD chronic treatment",2.14,"Afghanistan",2023,19076923.3915604,17431929.4180864,1644993.973474
"Asthma/COPD chronic treatment",2.14,"Afghanistan",2024,21212202.5076178,17843644.0208092,3368558.48680863
"Asthma/COPD chronic treatment",2.14,"Afghanistan",2025,23430752.8067219,18257712.7290296,5173040.07769226
"Asthma/COPD chronic treatment",2.14,"Afghanistan",2026,25737116.6057727,18675419.4541931,7061697.15157959
"Asthma/COPD chronic treatment",2.14,"Afghanistan",2027,28132850.4889643,19095657.5617664,9037192.92719787
"Asthma/COPD chronic treatment",2.14,"Afghanistan",2028,30621721.6035908,19519072.4334644,11102649.1701265
"Asthma/COPD chronic treatment",2.14,"Afghanistan",2029,33207688.7398146,19946502.6854809,13261186.0543338
"Asthma/COPD chronic treatment",2.14,"Afghanistan",2030,35895004.8650815,20379121.4073972,15515883.4576843
"Diabetes screening and treatment",2.3,"Afghanistan",2020,78227483.4243092,78227483.4243092,0
"Diabetes screening and treatment",2.3,"Afghanistan",2021,81115758.1584584,81115758.1584584,0
"Diabetes screening and treatment",2.3,"Afghanistan",2022,84176608.9451993,84176608.9451993,0
"Diabetes screening and treatment",2.3,"Afghanistan",2023,95650871.8785125,87402942.9767643,8247928.90174818
"Diabetes screening and treatment",2.3,"Afghanistan",2024,107918426.830051,90772205.6800092,17146221.1500419
"Diabetes screening and treatment",2.3,"Afghanistan",2025,121035825.989637,94275023.6021936,26760802.3874433
"Diabetes screening and treatment",2.3,"Afghanistan",2026,134978110.822915,97840595.6705792,37137515.1523354
"Diabetes screening and treatment",2.3,"Afghanistan",2027,149916900.784925,101549212.610711,48367688.1742146
"Diabetes screening and treatment",2.3,"Afghanistan",2028,165937348.592527,105407758.112207,60529590.4803201
"Diabetes screening and treatment",2.3,"Afghanistan",2029,183127366.51917,109426724.519113,73700642.0000574
"Diabetes screening and treatment",2.3,"Afghanistan",2030,201566727.19852,113614997.894039,87951729.304481
"CVD primary prevention",2.4,"Afghanistan",2020,15766571.9334976,15766571.9334976,0
"CVD primary prevention",2.4,"Afghanistan",2021,16353968.4183242,16353968.4183242,0
"CVD primary prevention",2.4,"Afghanistan",2022,16981036.405296,16981036.405296,0
"CVD primary prevention",2.4,"Afghanistan",2023,19313308.0609635,17647930.7505851,1665377.31037841
"CVD primary prevention",2.4,"Afghanistan",2024,21817654.9521466,18352408.0719438,3465246.88020287
"CVD primary prevention",2.4,"Afghanistan",2025,24505295.033875,19092605.6348794,5412689.39899557
"CVD primary prevention",2.4,"Afghanistan",2026,27375802.8575914,19858254.9118002,7517547.94579118
"CVD primary prevention",2.4,"Afghanistan",2027,30462374.7906957,20664503.5380924,9797871.25260327
"CVD primary prevention",2.4,"Afghanistan",2028,33774030.7232734,21507541.1082306,12266489.6150428
"CVD primary prevention",2.4,"Afghanistan",2029,37315011.1668585,22381906.1470256,14933105.0198328
"CVD primary prevention",2.4,"Afghanistan",2030,41088150.6451465,23283048.1071388,17805102.5380077
"Aspirin for suspected ACS",2.5,"Afghanistan",2020,4680.13408818771,4680.13408818771,0
"Aspirin for suspected ACS",2.5,"Afghanistan",2021,4858.61600920905,4858.61600920905,0
"Aspirin for suspected ACS",2.5,"Afghanistan",2022,5049.76927228185,5049.76927228185,0
"Aspirin for suspected ACS",2.5,"Afghanistan",2023,5747.79775434453,5252.16790499329,495.629849351236
"Aspirin for suspected ACS",2.5,"Afghanistan",2024,6494.76224442746,5462.96951449466,1031.7927299328
"Aspirin for suspected ACS",2.5,"Afghanistan",2025,7292.73413757997,5680.80568987481,1611.92844770515
"Aspirin for suspected ACS",2.5,"Afghanistan",2026,8135.49682836285,5898.43590945541,2237.06091890743
"Aspirin for suspected ACS",2.5,"Afghanistan",2027,9038.05526665888,6124.8649147983,2913.19035186058
"Aspirin for suspected ACS",2.5,"Afghanistan",2028,10007.2300963282,6361.76412089729,3645.46597543091
"Aspirin for suspected ACS",2.5,"Afghanistan",2029,11051.6991095087,6611.72019970436,4439.9789098043
"Aspirin for suspected ACS",2.5,"Afghanistan",2030,12179.5188987381,6876.6736089178,5302.84528982031
"CVD secondary prevention",2.6,"Afghanistan",2020,43970312.6624017,43970312.6624017,0
"CVD secondary prevention",2.6,"Afghanistan",2021,45701658.1921537,45701658.1921537,0
"CVD secondary prevention",2.6,"Afghanistan",2022,47503203.6270907,47503203.6270907,0
"CVD secondary prevention",2.6,"Afghanistan",2023,54036008.083132,49376508.9687901,4659499.11434194
"CVD secondary prevention",2.6,"Afghanistan",2024,61017205.8312051,51314774.6209234,9702431.21028172
"CVD secondary prevention",2.6,"Afghanistan",2025,68501977.1010975,53320103.9400906,15181873.1610069
"CVD secondary prevention",2.6,"Afghanistan",2026,76693414.1450717,55493885.8497843,21199528.2952874
"CVD secondary prevention",2.6,"Afghanistan",2027,85522510.6667845,57726127.1417567,27796383.5250277
"CVD secondary prevention",2.6,"Afghanistan",2028,95066112.0029024,60028143.7061017,35037968.2968007
"CVD secondary prevention",2.6,"Afghanistan",2029,105398820.124457,62412735.3247828,42986084.7996742
"CVD secondary prevention",2.6,"Afghanistan",2030,116586588.863857,64893378.953025,51693209.9108318
"Heart failure chronic treatment",2.7,"Afghanistan",2020,2910320.60695217,2910320.60695217,0
"Heart failure chronic treatment",2.7,"Afghanistan",2021,3028554.94712268,3028554.94712268,0
"Heart failure chronic treatment",2.7,"Afghanistan",2022,3149808.53002855,3149808.53002855,0
"Heart failure chronic treatment",2.7,"Afghanistan",2023,3582910.23581462,3273957.60102966,308952.634784957
"Heart failure chronic treatment",2.7,"Afghanistan",2024,4043480.7083517,3400395.41206176,643085.296289938
"Heart failure chronic treatment",2.7,"Afghanistan",2025,4534646.02767034,3529085.10971241,1005560.91795793
"Heart failure chronic treatment",2.7,"Afghanistan",2026,5084726.17965569,3677633.426775,1407092.75288068
"Heart failure chronic treatment",2.7,"Afghanistan",2027,5676353.47543404,3828077.33792605,1848276.13750799
"Heart failure chronic treatment",2.7,"Afghanistan",2028,6314042.02851258,3980903.27310945,2333138.75540313
"Heart failure chronic treatment",2.7,"Afghanistan",2029,7001907.44808189,4136723.34802846,2865184.10005344
"Heart failure chronic treatment",2.7,"Afghanistan",2030,7742801.42545579,4296066.67504986,3446734.75040594
"Alcohol use screening/brief intervention",2.9,"Afghanistan",2020,58839.9850253109,58839.9850253109,0
"Alcohol use screening/brief intervention",2.9,"Afghanistan",2021,60943.8523519071,60943.8523519071,0
"Alcohol use screening/brief intervention",2.9,"Afghanistan",2022,63131.6604696875,63131.6604696875,0
"Alcohol use screening/brief intervention",2.9,"Afghanistan",2023,711053.126915131,65384.1955784029,645668.931336728
"Alcohol use screening/brief intervention",2.9,"Afghanistan",2024,1404227.59505513,67672.1690161786,1336555.42603895
"Alcohol use screening/brief intervention",2.9,"Afghanistan",2025,2143289.76778592,69978.3681096993,2073311.39967622
"Alcohol use screening/brief intervention",2.9,"Afghanistan",2026,2929140.38244087,72306.9368644408,2856833.44557643
"Alcohol use screening/brief intervention",2.9,"Afghanistan",2027,3762660.17308129,74657.2260430578,3688002.94703823
"Alcohol use screening/brief intervention",2.9,"Afghanistan",2028,4644150.8291122,77018.8937964887,4567131.93531571
"Alcohol use screening/brief intervention",2.9,"Afghanistan",2029,5573767.74994009,79385.3510045468,5494382.39893555
"Alcohol use screening/brief intervention",2.9,"Afghanistan",2030,6551454.54682918,81751.0253714686,6469703.52145771
"Medical management of ACS",3.1,"Afghanistan",2020,1464428.73344813,1464428.73344813,0
"Medical management of ACS",3.1,"Afghanistan",2021,1522552.79026956,1522552.79026956,0
"Medical management of ACS",3.1,"Afghanistan",2022,1582993.11809,1582993.11809,0
"Medical management of ACS",3.1,"Afghanistan",2023,5554150.55581953,1645674.23876134,3908476.31705819
"Medical management of ACS",3.1,"Afghanistan",2024,9836708.14157529,1710252.1687973,8126455.97277799
"Medical management of ACS",3.1,"Afghanistan",2025,14453232.881469,1776670.84604905,12676562.03542
"Medical management of ACS",3.1,"Afghanistan",2026,19485507.0842493,1849827.48009932,17635679.60415
"Medical management of ACS",3.1,"Afghanistan",2027,24940514.0881209,1924796.1393864,23015717.9487345
"Medical management of ACS",3.1,"Afghanistan",2028,30860273.2661065,2001844.45220037,28858428.8139061
"Medical management of ACS",3.1,"Afghanistan",2029,37289397.7656017,2081311.64220979,35208086.1233919
"Medical management of ACS",3.1,"Afghanistan",2030,44269452.2093874,2163502.13850025,42105950.0708872
"Heart failure acute treatment",3.2,"Afghanistan",2020,1769765.64438901,1769765.64438901,0
"Heart failure acute treatment",3.2,"Afghanistan",2021,1841820.19247309,1841820.19247309,0
"Heart failure acute treatment",3.2,"Afghanistan",2022,1915726.74240149,1915726.74240149,0
"Heart failure acute treatment",3.2,"Afghanistan",2023,6720927.71856312,1991385.99068537,4729541.72787775
"Heart failure acute treatment",3.2,"Afghanistan",2024,11897215.2006666,2068405.0481478,9828810.15251879
"Heart failure acute treatment",3.2,"Afghanistan",2025,17467252.3032285,2146737.55900291,15320514.7442256
"Heart failure acute treatment",3.2,"Afghanistan",2026,23580534.5357115,2237392.12280164,21343142.4129099
"Heart failure acute treatment",3.2,"Afghanistan",2027,30212861.4139688,2329195.00448657,27883666.4094823
"Heart failure acute treatment",3.2,"Afghanistan",2028,37412432.5832399,2422438.49613582,34989994.0871041
"Heart failure acute treatment",3.2,"Afghanistan",2029,45229615.1156254,2517495.23800849,42712119.8776169
"Heart failure acute treatment",3.2,"Afghanistan",2030,53708117.4439586,2614664.7240454,51093452.7199132
"Cervical cancer screening and treatment",3.3,"Afghanistan",2020,672900.692154819,672900.692154819,0
"Cervical cancer screening and treatment",3.3,"Afghanistan",2021,698504.636210504,698504.636210504,0
"Cervical cancer screening and treatment",3.3,"Afghanistan",2022,725135.325922525,725135.325922525,0
"Cervical cancer screening and treatment",3.3,"Afghanistan",2023,1913011.83765851,752660.395144332,1160351.44251418
"Cervical cancer screening and treatment",3.3,"Afghanistan",2024,3188693.87177976,780878.458905346,2407815.41287442
"Cervical cancer screening and treatment",3.3,"Afghanistan",2025,4555169.53297664,809687.592949853,3745481.94002678
"Cervical cancer screening and treatment",3.3,"Afghanistan",2026,6014703.13292213,838943.563572937,5175759.5693492
"Cervical cancer screening and treatment",3.3,"Afghanistan",2027,7571609.19692406,868823.105300924,6702786.09162313
"Cervical cancer screening and treatment",3.3,"Afghanistan",2028,9227149.98698425,899092.118636554,8328057.8683477
"Cervical cancer screening and treatment",3.3,"Afghanistan",2029,10981736.9866105,929564.878494673,10052172.1081158
"Cervical cancer screening and treatment",3.3,"Afghanistan",2030,12836221.1189824,960174.678360034,11876046.4406224
"Asthma/COPD acute treatment",3.4,"Afghanistan",2020,2047587.00903348,2047587.00903348,0
"Asthma/COPD acute treatment",3.4,"Afghanistan",2021,2098039.11935388,2098039.11935388,0
"Asthma/COPD acute treatment",3.4,"Afghanistan",2022,2150047.71709834,2150047.71709834,0
"Asthma/COPD acute treatment",3.4,"Afghanistan",2023,7436356.13195376,2203364.77983815,5232991.35211561
"Asthma/COPD acute treatment",3.4,"Afghanistan",2024,12981845.5377187,2257598.86914947,10724246.6685692
"Asthma/COPD acute treatment",3.4,"Afghanistan",2025,18792519.4846244,2312406.76997053,16480112.7146538
"Asthma/COPD acute treatment",3.4,"Afghanistan",2026,24878667.8772687,2368001.47969717,22510666.3975716
"Asthma/COPD acute treatment",3.4,"Afghanistan",2027,31248848.5432467,2424213.17112746,28824635.3721193
"Asthma/COPD acute treatment",3.4,"Afghanistan",2028,37914404.8718153,2481119.6370433,35433285.234772
"Asthma/COPD acute treatment",3.4,"Afghanistan",2029,44887559.5381356,2538814.01784024,42348745.5202953
"Asthma/COPD acute treatment",3.4,"Afghanistan",2030,52181398.9691566,2597435.69009224,49583963.2790643
"Management of bowel obstruction",3.6,"Afghanistan",2020,26781.3066927856,26781.3066927856,0
"Management of bowel obstruction",3.6,"Afghanistan",2021,27478.939368831,27478.939368831,0
"Management of bowel obstruction",3.6,"Afghanistan",2022,28187.7460797276,28187.7460797276,0
"Management of bowel obstruction",3.6,"Afghanistan",2023,314378.291173557,28908.3486136604,285469.942559897
"Management of bowel obstruction",3.6,"Afghanistan",2024,615060.804792011,29638.9271081868,585421.877683824
"Management of bowel obstruction",3.6,"Afghanistan",2025,930856.439214243,30383.6457604269,900472.793453816
"Management of bowel obstruction",3.6,"Afghanistan",2026,1263460.49299018,31164.9710738553,1232295.52191632
"Management of bowel obstruction",3.6,"Afghanistan",2027,1612895.64429172,31952.2468610263,1580943.39743069
"Management of bowel obstruction",3.6,"Afghanistan",2028,1980084.76154769,32748.84306992,1947335.91847777
"Management of bowel obstruction",3.6,"Afghanistan",2029,2366080.92616938,33558.3775708939,2332522.54859848
"Management of bowel obstruction",3.6,"Afghanistan",2030,2771973.22353009,34384.5547991512,2737588.66873093
"Management of appendicitis",3.7,"Afghanistan",2020,17418.6236060878,17418.6236060878,0
"Management of appendicitis",3.7,"Afghanistan",2021,17858.2881141614,17858.2881141614,0
"Management of appendicitis",3.7,"Afghanistan",2022,18302.8613841237,18302.8613841237,0
"Management of appendicitis",3.7,"Afghanistan",2023,203879.326212302,18747.524249407,185131.801962895
"Management of appendicitis",3.7,"Afghanistan",2024,398084.118516687,19184.6478663745,378899.470650313
"Management of appendicitis",3.7,"Afghanistan",2025,600517.46209612,19608.1472401285,580909.314855992
"Management of appendicitis",3.7,"Afghanistan",2026,810658.900145086,20014.7103333518,790644.189811734
"Management of appendicitis",3.7,"Afghanistan",2027,1028397.34653403,20411.6434885384,1007985.70304549
"Management of appendicitis",3.7,"Afghanistan",2028,1253512.49937325,20799.6024934104,1232712.89687984
"Management of appendicitis",3.7,"Afghanistan",2029,1485870.91267303,21180.1133534776,1464690.79931955
"Management of appendicitis",3.7,"Afghanistan",2030,1725012.02796373,21549.8994384641,1703462.12852526
"Repair of hernias",3.8,"Afghanistan",2020,220257.858790012,220257.858790012,0
"Repair of hernias",3.8,"Afghanistan",2021,225488.434604826,225488.434604826,0
"Repair of hernias",3.8,"Afghanistan",2022,230897.920705618,230897.920705618,0
"Repair of hernias",3.8,"Afghanistan",2023,2571543.04480728,236463.728258141,2335079.31654914
"Repair of hernias",3.8,"Afghanistan",2024,5024662.35373478,242142.950247742,4782519.40348704
