"","Code","Intervention","WB_Region","Baseline.cost","Adjusted.cost","Incremental.cost","Deaths.avert","DALYS.Baseline","DALYS.Adjusted","DALYS.avert","Gross.benefits","Forgone.surplus","BCR"
"1",5.1,"Tobacco tax","LIC",973482.977292942,2785068.17672762,1811585.19943468,123018.260655808,170431895.988052,169663273.133855,768622.854197027,1129965706.53361,10169691.3588025,94.3109610266658
"2",5.4,"Alcohol regulations","LIC",1643748.39497909,2531892.11486396,888143.719884869,19331.4492841706,60355217.1967766,60204082.9601623,151134.236614318,217836362.913008,1960527.26621707,76.4694708429949
"3",5.3,"Tobacco regulations","LIC",2216654.27987799,3347179.36372971,1130525.08385172,26377.0707598741,170431895.988052,170250813.146136,181082.841915543,266413216.01139,2397718.94410251,75.5087272593963
"4",5.2,"Alcohol tax","LIC",2692994.25722794,3333933.65539027,640939.398162333,5881.3005878428,60355217.1967766,60310750.0140327,44467.1827439083,64027446.0234538,576247.014211084,52.6028267918349
"5",5.6,"Trans fat regulations","LIC",8479538.30288211,31686530.5431645,23206992.2402824,24588.6104740306,45065761.2178409,44899776.9582069,165984.259634005,238366425.86345,0,10.2713192384189
"6",5.5,"Salt regulations","LIC",0,52311354.6594287,52311354.6594287,35979.2341768796,94107362.6081435,93880245.6078551,227117.000288396,325655081.478917,0,6.22532304122276
"7",5.1,"Tobacco tax","LMC",16452473.0085244,59897293.6791822,43444820.6706578,1430528.29819938,1222868615.78888,1214202618.69733,8665997.09154916,56593902637.5008,509345123.737507,102.378676041389
"8",5.3,"Tobacco regulations","LMC",61532710.9296166,81503922.4190917,19971211.4894751,302960.5392761,1222868615.78888,1221025519.47854,1843096.31033761,12033979386.159,108305814.475431,93.8124289648813
"9",5.4,"Alcohol regulations","LMC",18910592.6484132,43858309.809345,24947717.1609318,133397.064594124,356353765.418217,355334084.138341,1019681.27987565,6555274014.94307,58997466.1344877,78.089936284656
"10",5.2,"Alcohol tax","LMC",18128758.6696274,46123642.592537,27994883.9229096,66371.5951100741,356353765.418217,355849713.973255,504050.693050593,3238739770.50534,29148657.9345481,56.6772668481813
"11",5.6,"Trans fat regulations","LMC",826756185.587689,1055630513.88173,228874328.29404,286909.218233011,422539656.984295,420720247.247615,1819409.73667981,11611184450.8035,0,50.7317030151429
"12",5.5,"Salt regulations","LMC",2027596027.67502,2389482280.00161,361886252.326587,433332.644074376,708603390.271607,705894925.54764,2708464.72396666,17281304285.1047,0,47.753414709739
"13",5.1,"Tobacco tax","LIC/LMC",17425955.9858174,62682361.8559098,45256405.8700924,1553546.55885519,1393300511.77693,1383865891.83118,9434619.94574619,57723868344.0344,519514815.09631,102.207524394145
"14",5.3,"Tobacco regulations","LIC/LMC",63749365.2094946,84851101.7828214,21101736.5733269,329337.610035974,1393300511.77693,1391276332.62467,2024179.15225316,12300392602.1704,110703533.419533,93.3224642902114
"15",5.4,"Alcohol regulations","LIC/LMC",20554341.0433923,46390201.9242089,25835860.8808167,152728.513878295,416708982.614993,415538167.098503,1170815.51648997,6773110377.85608,60957993.4007047,78.0367508036579
"16",5.2,"Alcohol tax","LIC/LMC",20821752.9268553,49457576.2479272,28635823.3210719,72252.8956979169,416708982.614993,416160463.987287,548517.875794502,3302767216.5288,29724904.9487592,56.5922892747061
"17",5.6,"Trans fat regulations","LIC/LMC",835235723.890571,1087317044.42489,252081320.534322,311497.828707041,467605418.202136,465620024.205822,1985393.99631381,11849550876.667,0,47.0068581501802
"18",5.5,"Salt regulations","LIC/LMC",2027596027.67502,2441793634.66104,414197606.986015,469311.878251256,802710752.87975,799775171.155495,2935581.72425505,17606959366.5837,0,42.5085975138869
