"","Code","Intervention","WB_Region","Baseline.cost","Adjusted.cost","Incremental.cost","Deaths.Baseline","Deaths.Adjusted","Deaths.avert","DALYS.Baseline","DALYS.Adjusted","DALYS.avert","Gross.benefits","Forgone.surplus","BCR","BCR.without.surplus"
"1",5.1,"Tobacco tax","LIC",666337.608273832,2477922.80770851,1811585.19943468,14975649.9396802,14848047.3068856,123018.260655808,116033763.734397,115265140.8802,768622.854197027,1129965706.53361,10169691.3588025,94.3109610266658,623.744169960223
"2",5.4,"Alcohol regulations","LIC",1117421.05233829,2005564.77222316,888143.719884869,14975649.9396802,14955431.9798863,19331.4492841706,41412761.2800934,41261627.0434791,151134.236614318,217836362.913008,1960527.26621707,76.4694708429949,245.271523105794
"3",5.3,"Tobacco regulations","LIC",1507309.00524942,2637834.08910114,1130525.08385172,14975649.9396802,14948322.0132803,26377.0707598741,116033763.734397,115852680.892481,181082.841915543,266413216.01139,2397718.94410251,75.5087272593963,235.654405034264
"4",5.2,"Alcohol tax","LIC",1837162.12247204,2478101.52063438,640939.398162333,14975649.9396802,14969493.044892,5881.3005878428,41412761.2800934,41368294.0973495,44467.1827439083,64027446.0234538,576247.014211084,52.6028267918349,99.8962557256269
"5",5.6,"Trans fat regulations","LIC",5748702.4029406,28955694.643223,23206992.2402824,14975649.9396802,14949914.4866461,24588.6104740306,30930186.2969468,30764202.0373128,165984.259634005,238366425.86345,238366.42586345,10.1668918466,10.2713192384189
"6",5.5,"Salt regulations","LIC",0,52311354.6594287,52311354.6594287,14975649.9396802,14938439.185499,35979.2341768796,64076453.3178157,63849336.3175273,227117.000288396,325655081.478917,325655.081478917,6.18680816182135,6.22532304122276
"7",5.1,"Tobacco tax","LMC",10896152.3740911,54340973.0447488,43444820.6706578,119603249.28768,118123914.86401,1430528.29819938,829761960.661757,821095963.570208,8665997.09154916,56593902637.5008,509345123.737507,102.378676041389,1302.66166976548
"8",5.3,"Tobacco regulations","LMC",40806029.5343337,60777241.0238088,19971211.4894751,119603249.28768,119290494.582853,302960.5392761,829761960.661757,827918864.35142,1843096.31033761,12033979386.159,108305814.475431,93.8124289648813,602.566318648265
"9",5.4,"Alcohol regulations","LMC",12572592.2569294,37520309.4178612,24947717.1609318,119603249.28768,119466166.983196,133397.064594124,242683509.87737,241663828.597495,1019681.27987565,6555274014.94307,58997466.1344877,78.089936284656,262.760475143139
"10",5.2,"Alcohol tax","LMC",12081160.1129515,40076044.035861,27994883.9229096,119603249.28768,119535103.628642,66371.5951100741,242683509.87737,242179458.432408,504050.693050593,3238739770.50534,29148657.9345481,56.6772668481813,115.690416128317
"11",5.6,"Trans fat regulations","LMC",547738700.435612,776613028.729652,228874328.29404,119603249.28768,119305274.675635,286909.218233011,287383281.504239,285563871.767559,1819409.73667981,11611184450.8035,11611184.4508035,48.2822616559155,50.7317030151429
"12",5.5,"Salt regulations","LMC",1341565360.28556,1703451612.61215,361886252.326587,119603249.28768,119153668.480063,433332.644074376,480986957.91701,478278493.193043,2708464.72396666,17281304285.1047,17281304.2851047,45.5769592723954,47.753414709739
"13",5.1,"Tobacco tax","LIC/LMC",11562489.9823649,56818895.8524573,45256405.8700924,134578899.227361,132971962.170896,1553546.55885519,945795724.396154,936361104.450408,9434619.94574619,57723868344.0344,519514815.09631,102.207524394145,1275.48503320678
"14",5.3,"Tobacco regulations","LIC/LMC",42313338.5395831,63415075.1129099,21101736.5733269,134578899.227361,134238816.596133,329337.610035974,945795724.396154,943771545.243901,2024179.15225316,12300392602.1704,110703533.419533,93.3224642902114,582.909020754167
"15",5.4,"Alcohol regulations","LIC/LMC",13690013.3092677,39525874.1900844,25835860.8808167,134578899.227361,134421598.963082,152728.513878295,284096271.157464,282925455.640974,1170815.51648997,6773110377.85608,60957993.4007047,78.0367508036579,262.159268046112
"16",5.2,"Alcohol tax","LIC/LMC",13918322.2354235,42554145.5564954,28635823.3210719,134578899.227361,134504596.673534,72252.8956979169,284096271.157464,283547752.529758,548517.875794502,3302767216.5288,29724904.9487592,56.5922892747061,115.336904390608
"17",5.6,"Trans fat regulations","LIC/LMC",553487402.838553,805568723.372875,252081320.534322,134578899.227361,134255189.162281,311497.828707041,318313467.801186,316328073.804872,1985393.99631381,11849550876.667,11849550.876667,44.8964185709638,47.0068581501802
"18",5.5,"Salt regulations","LIC/LMC",1341565360.28556,1755762967.27157,414197606.986015,134578899.227361,134092107.665562,469311.878251256,545063411.234826,542127829.510571,2935581.72425505,17606959366.5837,17606959.3665837,40.7752968323321,42.5085975138869
